axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.4053199445714088,0.4900259894893785
R,0.33,0.66,-0.14945330972849097,0.7228215488904265
S,0.33,0.66,-0.14247546660442484,0.2547284315867629
M,0.33,0.66,-0.2351940181996401,0.1785145469454118
