target,session_id,region,stimulus_family,shuffle_id,shuffle_memory_gain_r2
population_mean_rate_hz,715093703,CA1,spontaneous,0,-0.0006787634514311414
population_mean_rate_hz,715093703,CA1,spontaneous,1,-0.0031475026520282334
population_mean_rate_hz,715093703,CA1,spontaneous,2,-0.00639556748686354
population_mean_rate_hz,715093703,CA1,spontaneous,3,-0.00776237707880012
population_mean_rate_hz,715093703,CA1,spontaneous,4,-0.004694997572087911
population_mean_rate_hz,715093703,CA1,spontaneous,5,-0.002904772661662447
population_mean_rate_hz,715093703,CA1,spontaneous,6,-0.0017989165348397673
population_mean_rate_hz,715093703,CA1,spontaneous,7,-0.0042740651154677956
population_mean_rate_hz,715093703,CA1,spontaneous,8,-0.007821252903360887
population_mean_rate_hz,715093703,CA1,spontaneous,9,-0.0036345454701789404
population_mean_rate_hz,715093703,CA1,spontaneous,10,-0.0049448803535899755
population_mean_rate_hz,715093703,CA1,spontaneous,11,-0.007440450369937568
population_mean_rate_hz,715093703,CA1,spontaneous,12,-0.006642975337772028
population_mean_rate_hz,715093703,CA1,spontaneous,13,-0.0045386567701243274
population_mean_rate_hz,715093703,CA1,spontaneous,14,-0.002848356948058739
population_mean_rate_hz,715093703,CA1,spontaneous,15,-0.006844213740587968
population_mean_rate_hz,715093703,CA1,spontaneous,16,-0.004074849811927628
population_mean_rate_hz,715093703,CA1,spontaneous,17,-0.004756752214475357
population_mean_rate_hz,715093703,CA1,spontaneous,18,-0.002091701535947399
population_mean_rate_hz,715093703,CA1,spontaneous,19,-0.0030972378864749794
population_mean_rate_hz,715093703,CA1,spontaneous,20,-0.004210037946843159
population_mean_rate_hz,715093703,CA1,spontaneous,21,-0.0022357355101100262
population_mean_rate_hz,715093703,CA1,spontaneous,22,-0.006258373991793298
population_mean_rate_hz,715093703,CA1,spontaneous,23,-0.004133908479899806
population_mean_rate_hz,715093703,CA1,spontaneous,24,-0.004120074992744027
population_mean_rate_hz,715093703,CA1,spontaneous,25,-0.002375439888913311
population_mean_rate_hz,715093703,CA1,spontaneous,26,-0.006773639416699284
population_mean_rate_hz,715093703,CA1,spontaneous,27,-0.0026463738581826712
population_mean_rate_hz,715093703,CA1,spontaneous,28,-0.005143943449364974
population_mean_rate_hz,715093703,CA1,spontaneous,29,-0.0015201734042716852
population_mean_rate_hz,715093703,CA1,spontaneous,30,-0.006422466378947389
population_mean_rate_hz,715093703,CA1,spontaneous,31,-0.006237033154693261
population_mean_rate_hz,715093703,CA1,spontaneous,32,-0.003739307227252242
population_mean_rate_hz,715093703,CA1,spontaneous,33,-0.006842711451900296
population_mean_rate_hz,715093703,CA1,spontaneous,34,-0.009695137103622464
population_mean_rate_hz,715093703,CA1,spontaneous,35,-0.0012224869952285333
population_mean_rate_hz,715093703,CA1,spontaneous,36,-0.003622961198793573
population_mean_rate_hz,715093703,CA1,spontaneous,37,-0.003964375615967741
population_mean_rate_hz,715093703,CA1,spontaneous,38,-0.005048804077697144
population_mean_rate_hz,715093703,CA1,spontaneous,39,-0.007106569611755598
population_mean_rate_hz,715093703,CA1,spontaneous,40,-0.00220189687030814
population_mean_rate_hz,715093703,CA1,spontaneous,41,-0.007523003209328083
population_mean_rate_hz,715093703,CA1,spontaneous,42,-0.006329635562072888
population_mean_rate_hz,715093703,CA1,spontaneous,43,-0.007305658292154682
population_mean_rate_hz,715093703,CA1,spontaneous,44,-0.005677979882749984
population_mean_rate_hz,715093703,CA1,spontaneous,45,-0.008324892018649943
population_mean_rate_hz,715093703,CA1,spontaneous,46,-0.0008954219897520099
population_mean_rate_hz,715093703,CA1,spontaneous,47,-0.008177634180759896
population_mean_rate_hz,715093703,CA1,spontaneous,48,-0.0077797079146652015
population_mean_rate_hz,715093703,CA1,spontaneous,49,-0.0015433748486176624
population_mean_rate_hz,715093703,CA1,spontaneous,50,-0.00770306975161128
population_mean_rate_hz,715093703,CA1,spontaneous,51,-0.0060329227309632305
population_mean_rate_hz,715093703,CA1,spontaneous,52,-0.004362168314284709
population_mean_rate_hz,715093703,CA1,spontaneous,53,-0.0034093849064811277
population_mean_rate_hz,715093703,CA1,spontaneous,54,-0.0045252931473006575
population_mean_rate_hz,715093703,CA1,spontaneous,55,-0.000959821910927583
population_mean_rate_hz,715093703,CA1,spontaneous,56,-0.0037022504561591285
population_mean_rate_hz,715093703,CA1,spontaneous,57,-0.00176869352465292
population_mean_rate_hz,715093703,CA1,spontaneous,58,-0.003931050187193419
population_mean_rate_hz,715093703,CA1,spontaneous,59,-0.001754450646964889
population_mean_rate_hz,715093703,CA1,spontaneous,60,-0.004975498546157753
population_mean_rate_hz,715093703,CA1,spontaneous,61,-0.003915347975717576
population_mean_rate_hz,715093703,CA1,spontaneous,62,-0.004876626312297239
