target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory
active_unit_fraction,4,0.3901288303608387,0.44794954077490245,0.07639595184008774,0.07338874830349962,1.0,-0.0031519860297014243,-0.0030994048766481044,0.0791123773488684,0.07648815318014773,1.0,0.009900990099009901,0.009900990099009901,1
population_rate_entropy,4,0.33511429567692363,0.40266350396230977,0.06425439355941509,0.06590180092240061,1.0,-0.0035100608994182384,-0.003040658062487804,0.06750975614645069,0.0689424589848884,1.0,0.009900990099009901,0.009900990099009901,2
population_std_rate_hz,4,0.25512274461577333,0.28111109984128774,0.04022612072163645,0.033107237973575426,1.0,-0.004115635448304108,-0.003788836064051314,0.043688157401434974,0.03689607403762674,1.0,0.009900990099009901,0.009900990099009901,3
population_l2_rate_norm,4,0.35808547310341915,0.39131454438872765,0.036875813982432615,0.035052442633870556,1.0,-0.003377969411249537,-0.0036871032848391715,0.04087205114086142,0.03873954591870973,1.0,0.009900990099009901,0.009900990099009901,4
population_mean_rate_hz,4,0.4546169053423721,0.5005236184751188,0.03590171800139258,0.04090421556706966,1.0,-0.0029378963632858113,-0.00326305436112059,0.03948993036034795,0.04416726992819025,1.0,0.009900990099009901,0.009900990099009901,5
population_state_speed,4,0.04618796233483308,0.03564387713335665,-0.010280770198823841,-0.021588638833718116,0.25,-0.005174850189671081,-0.0051740471642999,-0.0048376994496615745,-0.016414591669418215,0.25,0.7821782178217822,0.009900990099009901,6
