session_id,ecephys_session_id,stimulus_presentation_id,trial_id,stimulus_name,stimulus_family,region,bin_index,bin_start_time,bin_end_time,bin_size_sec,n_units,population_total_spikes,population_mean_rate_hz,population_median_rate_hz,population_std_rate_hz,population_max_rate_hz,active_unit_fraction,population_l2_rate_norm,population_rate_entropy,delta_population_mean_rate_hz,delta_population_std_rate_hz,delta_active_unit_fraction,delta_population_l2_rate_norm,delta_population_rate_entropy,population_state_speed,lag_population_mean_rate_hz,lag_active_unit_fraction,lag_population_l2_rate_norm,lag_population_rate_entropy,has_lag_history,H_raw,R_raw,S_raw,M_raw,Phi_neural_raw,H_ortho,H,R_ortho,R,S_ortho,S,M_ortho,M,Phi_neural,H_domain,R_domain,S_domain,M_domain,hrsm_domain
715093703,715093703,0,0,drifting_gratings,drifting_gratings,CA1,0,1574.7748229367066,1575.2748229367066,0.5,5,50.0,20.0,8.0,27.79928056623049,74.0,0.6,76.57675887630658,0.7335397772613093,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.4,20.5910311987482,0.6810506853459987,0,1.9179887287279522,0.67448975,-0.29016930103671734,0.0,0.5755772944228087,1.9179887287279522,1.9179887287279522,1.1113725780313344,1.1113725780313344,-0.42214831081744597,-0.42214831081744597,-1.0665521541551932,-1.0665521541551932,0.38516521044666185,high,mid,low,low,high_mid_low_low
715093703,715093703,0,0,drifting_gratings,drifting_gratings,CA1,1,1575.2748229367066,1575.7748229367066,0.5,5,54.0,21.6,10.0,30.81298427611321,82.0,0.6,84.14273587185052,0.7123326274812039,1.6000000000000014,3.013703709882723,0.0,7.565976995543934,-0.0212071497801054,8.299811304557634,20.0,0.6,76.57675887630658,0.7335397772613093,1,2.147448461957618,-0.706842502844662,-0.8366768176807464,1.5321556129101912,0.5340211885856003,2.147448461957618,2.147448461957618,-0.3484055966106143,-0.3484055966106143,-0.07641002111288142,-0.07641002111288142,-0.014197922714883404,-0.014197922714883404,0.4271087303798098,high,low,low,mid,high_low_low_mid
715093703,715093703,0,0,drifting_gratings,drifting_gratings,CA1,2,1575.7748229367066,1576.2748229367066,0.5,5,39.0,15.6,6.0,21.59259132202525,58.0,0.8,59.56509044734173,0.7995110627711745,-6.000000000000002,-9.220392954087965,0.2,-24.577645424508795,0.0871784352899706,26.928124719709924,21.6,0.6,84.14273587185052,0.7123326274812039,1,1.5664316702691696,-3.8071407135182866,-1.7640796232835583,1.676495042196799,-0.5820734060839692,1.5664316702691696,1.5664316702691696,-3.2500702729286357,-3.2500702729286357,1.1534230528505494,1.1534230528505494,-0.12522128191337023,-0.12522128191337023,-0.16385920793057174,high,low,high,mid,high_low_high_mid
715093703,715093703,0,0,drifting_gratings,drifting_gratings,CA1,3,1576.2748229367066,1576.7748229367066,0.5,5,53.0,21.2,8.0,30.135693122939777,80.0,0.6,82.38931969618392,0.7084923511924427,5.6,8.543101800914531,-0.2,22.824229248842197,-0.0910187115787317,25.006765356406053,15.6,0.8,59.56509044734173,0.7995110627711745,1,2.0914868809188247,-3.4873701114590174,-2.007376100574927,1.3587864276426145,-0.5111182258681263,2.0914868809188247,2.0914868809188247,-3.109801492013102,-3.109801492013102,0.6219925192698317,0.6219925192698317,-0.7721525281542676,-0.7721525281542676,-0.29211865499467826,high,low,high,low,high_low_high_low
715093703,715093703,0,0,drifting_gratings,drifting_gratings,CA1,4,1576.7748229367066,1577.2748229367066,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.2,-30.135693122939777,-0.6,-82.38931969618392,-0.7084923511924427,90.2577529158116,21.2,0.6,82.38931969618392,0.7084923511924427,1,-0.9600476438719052,-14.347049969033396,-7.746778716300545,1.6339734015983405,-5.3549757319018765,-0.9600476438719052,-0.9600476438719052,-12.926246289020847,-12.926246289020847,2.582339446785456,2.582339446785456,-0.7201152859711244,-0.7201152859711244,-3.006017443019605,low,low,high,low,low_low_high_low
715093703,715093703,1,1,drifting_gratings,drifting_gratings,CA1,0,1577.7773474972146,1578.2773474972146,0.5,5,44.0,17.6,6.0,25.71847584908561,68.0,0.6,69.68500556073738,0.6747926851377837,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.4,20.5910311987482,0.6810506853459987,0,1.691366627281615,0.67448975,-0.2519984321580474,0.0,0.5284644862808918,1.691366627281615,1.691366627281615,1.1888483921856312,1.1888483921856312,-0.3519995462195652,-0.3519995462195652,-0.8974633994435326,-0.8974633994435326,0.4076880184510371,high,mid,low,low,high_mid_low_low
715093703,715093703,1,1,drifting_gratings,drifting_gratings,CA1,1,1578.2773474972146,1578.7773474972146,0.5,5,29.0,11.6,2.0,16.56019323558756,44.0,0.8,45.21061822182926,0.7448777770191137,-6.000000000000002,-9.158282613498056,0.2,-24.474387338908123,0.07008509188133,26.812584507348618,17.6,0.6,69.68500556073738,0.6747926851377837,1,1.1113992959839634,-3.7879114303480104,-1.5468448431424369,1.2910379053168708,-0.7330797680474033,1.1113992959839634,1.1113992959839634,-3.075278035221654,-3.075278035221654,1.4219944178757666,1.4219944178757666,-0.16250718643936524,-0.16250718643936524,-0.1760978769503223,high,low,high,mid,high_low_high_mid
715093703,715093703,1,1,drifting_gratings,drifting_gratings,CA1,2,1578.7773474972146,1579.2773474972146,0.5,5,38.0,15.2,2.0,22.22071105972984,58.0,0.6,60.19966777316965,0.6300305964883216,3.6,5.660517824142278,-0.2,14.989049551340386,-0.1148471805307921,16.42334492010826,11.6,0.8,45.21061822182926,0.7448777770191137,1,1.3902068701950778,-2.0588369733775034,-1.4928064549615088,0.9593309748370541,-0.30052639582672,1.3902068701950778,1.3902068701950778,-1.4415201588782385,-1.4415201588782385,0.27929844242782287,0.27929844242782287,-0.333432178608163,-0.333432178608163,-0.026361756215875193,high,low,mid,low,high_low_mid_low
715093703,715093703,1,1,drifting_gratings,drifting_gratings,CA1,3,1579.2773474972146,1579.7773474972146,0.5,5,29.0,11.6,4.0,17.453939383417143,46.0,0.6,46.86149805543992,0.6415082861254431,-3.6,-4.766771676312693,0.0,-13.33816971772972,0.0114776896371214,14.614684922037096,15.2,0.6,60.19966777316965,0.6300305964883216,1,0.983644444758707,-1.7578228541295453,-0.8248317753700557,1.0295759309180168,-0.1423585634557193,0.983644444758707,0.983644444758707,-1.0015136169398255,-1.0015136169398255,0.8031516017763402,0.8031516017763402,0.12338283167423958,0.12338283167423958,0.2271663153173653,high,low,high,mid,high_low_high_mid
715093703,715093703,1,1,drifting_gratings,drifting_gratings,CA1,4,1579.7773474972146,1580.2773474972146,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.6,-17.453939383417143,-0.6,-46.86149805543992,-0.6415082861254431,51.3417133808482,11.6,0.6,46.86149805543992,0.6415082861254431,1,-0.9600476438719052,-7.870278559410607,-5.390369065861212,0.7190635365251273,-3.3754079331546496,-0.9600476438719052,-0.9600476438719052,-6.449474879398058,-6.449474879398058,0.6033844564172259,0.6033844564172259,-0.1888988703646195,-0.1888988703646195,-1.7487592343043392,low,low,high,mid,low_low_high_mid
