axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.43945616686898387,0.5623647404184643
R,0.33,0.66,0.2697841157172014,1.3314312114818398
S,0.33,0.66,-0.03187618861518057,0.5173671022458588
M,0.33,0.66,-0.3322555812727028,0.28333742283755226
