target,n_sessions,median_rank,mean_rank,median_observed_gain,mean_observed_gain,median_observed_minus_shuffle,mean_observed_minus_shuffle,min_fraction_above_shuffle,median_empirical_p,cross_session_rank
active_unit_fraction,6,1.5,1.6666666666666667,0.05702536182838935,0.045585549804454346,0.060663413865265546,0.04901666469780724,0.75,0.0099009900990099,1
population_rate_entropy,6,2.0,2.1666666666666665,0.0591489059576586,0.051716627707074914,0.06256814797747734,0.055283934985661504,1.0,0.0099009900990099,2
population_mean_rate_hz,6,3.0,3.1666666666666665,0.0338484193124088,0.0386965228353093,0.03712535562019305,0.0419415874473228,0.5,0.0099009900990099,3
population_l2_rate_norm,6,4.5,4.333333333333333,0.025856777825282402,0.033114057452955786,0.0292775009101131,0.03665300611699342,0.5,0.0099009900990099,4
population_std_rate_hz,6,4.5,4.5,0.02452148231608755,0.03207916537023931,0.02865965323847615,0.035938723684041766,0.5,0.0099009900990099,5
population_state_speed,6,6.0,5.166666666666667,0.00367560444846725,0.0020688169585344174,0.00829552356257475,0.006843774352141667,0.25,0.05445544554455445,6
