session_id_synthesis,region,stimulus_family,Phi_neural,H,R,S,M,hrsm_domain,mean_rate_raw_gain,mean_rate_controlled_gain,active_controlled_gain,entropy_controlled_gain,organizational_memory_gain,phi_rank,stability_rank,controlled_mean_rate_rank,active_memory_rank,entropy_memory_rank,organizational_memory_rank,ripeness_score_raw,ripeness_penalty,ripeness_score,ripeness_class,ripeness_mode
751348571,CA1,spontaneous,-0.0053068352342071,0.1135427531866955,0.3241945040605709,-0.1127075103045636,-0.1625941956176383,high_mid_low_low,0.1235170818425923,0.1274302050259121,0.0957177910438111,0.1041790457216738,0.09994841838274246,0.4583333333333333,0.16666666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.7625,0.0,0.7625,high,memory_carrier_low_phi
715093703,VISl,spontaneous,-0.1109863710262901,-0.872608417213339,0.4583949660394217,0.2122666085469111,-0.0994054053589387,low_mid_high_high,0.0762302269086685,0.0789612825761583,0.0953627827711413,0.1076960146027443,0.1015293986869428,0.20833333333333334,0.75,0.9166666666666666,0.9166666666666666,1.0,0.9583333333333334,0.7416666666666666,0.0,0.7416666666666666,moderate,memory_carrier_low_phi
756029989,VISl,spontaneous,0.2127728385150027,0.2419520084913787,0.5120447834358011,0.2631580613856451,-0.0034574966368427,high_high_high_mid,0.0723476643332773,0.0752343905153945,0.0712277425269617,0.0547520366041244,0.06298988956554305,0.7083333333333334,0.9166666666666666,0.8333333333333334,0.7083333333333334,0.5416666666666666,0.625,0.7166666666666667,0.0,0.7166666666666667,moderate,balanced_state_memory
755434585,CA1,spontaneous,0.1433229498390177,0.37617948045404,0.322707982013453,-0.0103884411611056,-0.0463032588700332,high_mid_low_high,0.0447737283471185,0.0490173036826468,0.074682432636573,0.0861892227150058,0.0804358276757894,0.625,0.20833333333333334,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6937500000000001,0.0,0.6937500000000001,moderate,balanced_state_memory
715093703,CA1,spontaneous,-0.1922645981548925,-0.186355497114396,-0.2344821563735691,-0.0055534392753253,-0.1785624179063099,mid_low_mid_low,0.047326946689318,0.0520583862325861,0.121145247906465,0.1005709422347665,0.11085809507061575,0.08333333333333333,0.25,0.75,1.0,0.9166666666666666,1.0,0.6270833333333334,0.0,0.6270833333333334,moderate,memory_carrier_low_phi
750749662,CA1,spontaneous,0.4178042567701245,1.2195711580229995,0.386064143394811,0.0697825842028587,0.2452115469105326,high_mid_low_high,0.0499022531328194,0.0526990315440471,0.0538773816853451,0.0522434258132263,0.0530604037492857,0.875,0.3333333333333333,0.7916666666666666,0.4583333333333333,0.5,0.4583333333333333,0.6260416666666667,0.0,0.6260416666666667,moderate,structural_state_low_org_memory
719161530,VISp,spontaneous,0.1318015165498064,-0.2563635349550572,0.5909024333176348,0.2682219630459801,0.0251795156728222,mid_high_high_high,0.0426216550723957,0.0456026381718394,0.0647650598580022,0.0590884078014188,0.0619267338297105,0.5833333333333334,0.9583333333333334,0.625,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.6197916666666667,0.0,0.6197916666666667,moderate,mixed
751348571,VISl,spontaneous,-0.0219422991140817,-0.3818980115753818,0.4543190320762613,0.1970368805024746,-0.1017803062290998,low_high_high_mid,0.0359329941130814,0.0393815013158278,0.0745376880223068,0.0595175385803862,0.0670276133013465,0.375,0.7083333333333334,0.5416666666666666,0.7916666666666666,0.625,0.6666666666666666,0.5916666666666667,0.0,0.5916666666666667,moderate,memory_carrier_low_phi
750749662,VISl,spontaneous,-0.0675699981900686,-0.5478326215347002,0.4412393872819362,0.0967889612084081,-0.1540222457590296,low_high_mid_mid,0.0269162411662434,0.0309567366652331,0.0752560199898695,0.0922152059101105,0.08373561294998999,0.25,0.4166666666666667,0.375,0.875,0.875,0.875,0.5729166666666667,0.0,0.5729166666666667,moderate,memory_carrier_low_phi
719161530,LGd,spontaneous,0.7025936003771769,2.310243499251818,0.3922649845718073,0.0766564498981478,0.3033137816325365,high_high_mid_high,0.0443978073560237,0.04650339625009,0.0440861888074901,0.0342200165573705,0.0391531026824303,1.0,0.375,0.6666666666666666,0.4166666666666667,0.25,0.25,0.5708333333333333,0.0,0.5708333333333333,moderate,structural_state_low_org_memory
751348571,VISp,spontaneous,0.0110198394620654,-0.1607924273696235,0.3861498384796207,0.167744913119364,-0.096081305672825,mid_high_high_high,0.0276572471337687,0.0302540589373021,0.0688916910627839,0.0657336363922256,0.06731266372750475,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.5583333333333333,0.0,0.5583333333333333,moderate,mixed
755434585,LGd,spontaneous,0.4901620149429663,0.683631553343516,0.6868007095781867,0.2437299241833771,0.4104274444207412,high_high_high_high,0.0310956579903627,0.0323148108148023,0.0372057672067362,0.0442026138770314,0.0407041905418838,0.9166666666666666,0.8333333333333334,0.4166666666666667,0.25,0.4583333333333333,0.3333333333333333,0.5552083333333334,0.0,0.5552083333333334,moderate,structural_state_low_org_memory
756029989,VISp,spontaneous,0.0424337026788743,-0.6793289481109862,0.580770987578322,0.323945204493061,0.0241937485778701,low_high_high_high,0.0402362544263682,0.0423483905656861,0.0429336192995378,0.0408551775280704,0.0418943984138041,0.5416666666666666,1.0,0.5833333333333334,0.375,0.375,0.375,0.5208333333333334,0.0,0.5208333333333334,transitional,mixed
719161530,VISl,spontaneous,-0.0322409799000946,-0.3429992899098388,0.2866206270200028,0.1653082892690971,-0.0937902312575512,low_mid_high_mid,0.0119968570136173,0.0156479557852294,0.0726195957588933,0.0659330091358789,0.06927630244738611,0.3333333333333333,0.625,0.16666666666666666,0.75,0.7083333333333334,0.75,0.5072916666666667,0.0,0.5072916666666667,transitional,memory_carrier_low_phi
750749662,LGd,spontaneous,0.2372835311820766,0.7185275058865488,0.3868188412427005,0.0970463463980385,0.1155378917274009,high_high_high_high,0.033862941166856,0.0356064049498852,0.0424325882029376,0.0383734599011026,0.0404030240520201,0.75,0.4583333333333333,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.47500000000000003,0.0,0.47500000000000003,transitional,structural_state_low_org_memory
756029989,LGd,spontaneous,0.3548038366331841,1.0741936111114678,0.2218616822848518,0.2203341695989682,0.2633421457737129,high_mid_mid_high,0.0770640208123901,0.07886145041135,-0.1560657578719967,0.0079636230127548,-0.07405106742962095,0.7916666666666666,0.7916666666666666,0.875,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.47083333333333344,0.0,0.47083333333333344,transitional,structural_state_low_org_memory
719161530,CA1,spontaneous,-0.113984210997188,0.064534530005646,0.0083210484433869,-0.1556503927930502,-0.2382731566299424,high_low_low_low,0.0324639979628017,0.0371327431204531,0.0675734145262095,0.0742925205722976,0.07093296754925354,0.16666666666666666,0.08333333333333333,0.5,0.625,0.75,0.7916666666666666,0.45937500000000003,0.0,0.45937500000000003,transitional,memory_carrier_low_phi
715093703,LGd,spontaneous,0.4084742683919148,0.8017982460051836,0.5011302979247261,0.2450117079245697,0.3202837561625394,high_high_high_high,0.0155831993568249,0.0183606707092936,0.026582610116389,0.0344485700581348,0.0305155900872619,0.8333333333333334,0.875,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.20833333333333334,0.45,0.0,0.45,transitional,structural_state_low_org_memory
756029989,CA1,spontaneous,-0.3180612851622735,0.0099166581356049,-0.1922286492367676,-0.4622870476964339,-0.4451956064625076,mid_low_low_low,0.0857139714880539,0.0894389891212623,0.0673815617773128,0.0435745610031983,0.05547806139025555,0.041666666666666664,0.041666666666666664,0.9583333333333334,0.5833333333333334,0.4166666666666667,0.5,0.43125,0.0,0.43125,transitional,mixed
751348571,LGd,spontaneous,0.5735000661946583,1.8282720709024085,0.3118423549278155,0.1240473000837134,0.3526804312555682,high_low_mid_high,0.0167964537409996,0.0191166854273394,0.0244301348211754,0.0221132518961682,0.0232716933586718,0.9583333333333334,0.5416666666666666,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.41874999999999996,0.0,0.41874999999999996,transitional,structural_state_low_org_memory
715093703,VISp,spontaneous,0.1760426412522874,0.5492410364127789,0.5358895655081629,-0.1235158579534533,-0.136785310268164,high_high_low_mid,0.0244764893134671,0.0271321293005801,0.0628619719265954,0.0330543090439079,0.047958140485251655,0.6666666666666666,0.125,0.2916666666666667,0.5,0.20833333333333334,0.4166666666666667,0.39687500000000003,0.0,0.39687500000000003,transitional,structural_state_low_org_memory
750749662,VISp,spontaneous,-0.0453212654174055,-0.3379355255996193,0.3017248408738461,0.1453665741155934,-0.1767395286932376,mid_low_high_low,-0.0013457653057247,0.0034160858064314,0.0420304532230027,0.0766001841766269,0.059315318699814795,0.2916666666666667,0.5833333333333334,0.125,0.2916666666666667,0.7916666666666666,0.5416666666666666,0.4,0.05,0.35000000000000003,transitional,mixed
755434585,VISp,spontaneous,-0.0122086132222779,-0.0981760864937148,0.2383750171383912,0.1143673717864451,-0.1744018939200959,mid_low_high_mid,-0.0174398573520768,-0.0126968975719489,0.0045924172760393,0.0155782690323736,0.01008534315420645,0.4166666666666667,0.5,0.041666666666666664,0.125,0.125,0.125,0.21875000000000003,0.15000000000000002,0.06875,low,low_memory_state
755434585,VISl,spontaneous,-0.1712569286871127,-0.5691032507292989,0.3275012711388552,0.0208530061913899,-0.3459475343041345,low_high_mid_low,-0.0134115186618233,-0.0087499064741081,0.0022715501737915,0.0134193974852782,0.00784547382953485,0.125,0.2916666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.11458333333333334,0.15000000000000002,0.0,low,low_memory_state
