session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,session_id_synthesis,H,R,S,M,Phi_neural,hrsm_domain
715093703,CA1,spontaneous,2071,15,ok,0.1075307031008051,0.1548576497901231,0.047326946689318,-0.0047314395432681,0.0024370052949863,0.0520583862325861,0.0099009900990099,0.03,100,715093703,-0.186355497114396,-0.2344821563735691,-0.0055534392753253,-0.1785624179063099,-0.1922645981548925,mid_low_mid_low
719161530,CA1,spontaneous,2071,15,ok,0.1531133204647743,0.185577318427576,0.0324639979628017,-0.0046687451576513,0.0025564302197471,0.0371327431204531,0.0099009900990099,0.04,100,719161530,0.064534530005646,0.0083210484433869,-0.1556503927930502,-0.2382731566299424,-0.113984210997188,high_low_low_low
750749662,CA1,spontaneous,2071,15,ok,0.4232157803255278,0.4731180334583473,0.0499022531328194,-0.0027967784112276,0.0017664497789197,0.0526990315440471,0.0099009900990099,0.07,100,750749662,1.2195711580229995,0.386064143394811,0.0697825842028587,0.2452115469105326,0.4178042567701245,high_mid_low_high
751348571,CA1,spontaneous,2071,15,ok,0.2356494338013892,0.3591665156439816,0.1235170818425923,-0.0039131231833198,0.0022044797950524,0.1274302050259121,0.0099009900990099,0.05,100,751348571,0.1135427531866955,0.3241945040605709,-0.1127075103045636,-0.1625941956176383,-0.0053068352342071,high_mid_low_low
755434585,CA1,spontaneous,2072,15,ok,0.159744099494417,0.2045178278415356,0.0447737283471185,-0.0042435753355282,0.0024862550904954,0.0490173036826468,0.0099009900990099,0.07,100,755434585,0.37617948045404,0.322707982013453,-0.0103884411611056,-0.0463032588700332,0.1433229498390177,high_mid_low_high
756029989,CA1,spontaneous,2071,15,ok,0.2496111238974308,0.3353250953854847,0.0857139714880539,-0.0037250176332083,0.0020550109579998,0.0894389891212623,0.0099009900990099,0.04,100,756029989,0.0099166581356049,-0.1922286492367676,-0.4622870476964339,-0.4451956064625076,-0.3180612851622735,mid_low_low_low
715093703,LGd,spontaneous,2071,15,ok,0.4943281235827373,0.5099113229395623,0.0155831993568249,-0.0027774713524686,0.0014818394101141,0.0183606707092936,0.0099009900990099,0.05,100,715093703,0.8017982460051836,0.5011302979247261,0.2450117079245697,0.3202837561625394,0.4084742683919148,high_high_high_high
719161530,LGd,spontaneous,2071,15,ok,0.6185121364429058,0.6629099437989295,0.0443978073560237,-0.0021055888940663,0.0011057589832512,0.04650339625009,0.0099009900990099,0.04,100,719161530,2.310243499251818,0.3922649845718073,0.0766564498981478,0.3033137816325365,0.7025936003771769,high_high_mid_high
750749662,LGd,spontaneous,2071,15,ok,0.6794317678286059,0.713294708995462,0.033862941166856,-0.0017434637830292,0.0007837616117498,0.0356064049498852,0.0099009900990099,0.02,100,750749662,0.7185275058865488,0.3868188412427005,0.0970463463980385,0.1155378917274009,0.2372835311820766,high_high_high_high
751348571,LGd,spontaneous,2071,15,ok,0.5899875882651628,0.6067840420061625,0.0167964537409996,-0.0023202316863397,0.001314686918774,0.0191166854273394,0.0099009900990099,0.06,100,751348571,1.8282720709024085,0.3118423549278155,0.1240473000837134,0.3526804312555682,0.5735000661946583,high_low_mid_high
