region,n_sessions,median_ripeness,mean_ripeness,median_phi,median_mean_rate_controlled_gain,median_active_controlled_gain,median_entropy_controlled_gain,region_rank
CA1,6,0.6265625000000001,0.6,-0.05964552311569755,0.0523787088883166,0.07112792358139125,0.0802408716436517,1
VISl,6,0.5822916666666667,0.521701388888889,-0.0499054890450816,0.03516911899053045,0.07357864189060005,0.06272527385813255,2
LGd,6,0.47291666666666676,0.49010416666666673,0.44931814166744055,0.03396060788234375,0.0318941886615626,0.03433429330775265,3
VISp,6,0.4588541666666667,0.41909722222222223,0.02672677107046985,0.028693094118941102,0.052897795613066595,0.0499717926647446,4
