target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
active_unit_fraction,751348571,CA1,spontaneous,2071,15,ok,0.12657871499328366,0.17925595336480316,0.0526772383715195,-0.001801724927084638,0.002103542691379375,0.05447896329860413,0.0196078431372549,0.18,50
active_unit_fraction,751348571,LGd,spontaneous,2071,15,ok,0.45435225923964395,0.4609052300485579,0.006552970808913927,-0.0013320061086626155,0.0011201699464721653,0.007884976917576543,0.0196078431372549,0.12,50
active_unit_fraction,751348571,VISl,spontaneous,2071,15,ok,0.4432859808500338,0.5009982123035487,0.057712231453514895,-0.001157634426702223,0.0011685209004845124,0.058869865880217115,0.0196078431372549,0.14,50
active_unit_fraction,751348571,VISp,spontaneous,2071,15,ok,0.43315865853922475,0.48653536882663484,0.05337671028741009,-0.0012531463400986098,0.0010275903154301157,0.0546298566275087,0.0196078431372549,0.12,50
population_rate_entropy,751348571,CA1,spontaneous,2071,15,ok,0.10548200196653001,0.16467691997357714,0.059194918007047126,-0.002145719962969883,0.00181569106824745,0.06134063797001701,0.0196078431372549,0.12,50
population_rate_entropy,751348571,LGd,spontaneous,2071,15,ok,0.39032441205641755,0.39548192001465476,0.005157507958237217,-0.0018489744482317572,0.001312464727606367,0.0070064824064689744,0.0196078431372549,0.08,50
population_rate_entropy,751348571,VISl,spontaneous,2071,15,ok,0.4170992891759949,0.4633862125039092,0.04628692332791429,-0.001774550916014377,0.0008172665143609813,0.04806147424392866,0.0196078431372549,0.02,50
population_rate_entropy,751348571,VISp,spontaneous,2071,15,ok,0.36366644723069586,0.41408366696594456,0.05041721973524871,-0.0017432605600658847,0.0014719290540938562,0.052160480295314594,0.0196078431372549,0.1,50
population_mean_rate_hz,751348571,CA1,spontaneous,2071,15,ok,0.23564943380138925,0.3091834349145488,0.07353400111315955,-0.002127854236250435,0.0012418663318310439,0.07566185534940999,0.0196078431372549,0.04,50
population_mean_rate_hz,751348571,LGd,spontaneous,2071,15,ok,0.5899875882651628,0.6045518970682897,0.014564308803126869,-0.0011755612830015316,0.0007046936289684663,0.0157398700861284,0.0196078431372549,0.06,50
population_mean_rate_hz,751348571,VISl,spontaneous,2071,15,ok,0.38398565034276244,0.4187783607903117,0.03479271044754928,-0.0012484707949706197,0.0012855760055823673,0.0360411812425199,0.0196078431372549,0.16,50
population_mean_rate_hz,751348571,VISp,spontaneous,2071,15,ok,0.4134198945707187,0.4448231621914309,0.031403267620712216,-0.0015981009153899018,0.0011913561841005453,0.03300136853610212,0.0196078431372549,0.12,50
population_state_speed,751348571,CA1,spontaneous,2071,15,ok,0.07232918461536775,0.0848785872428629,0.012549402627495154,-0.002260761406295222,0.001919446762073944,0.014810164033790376,0.0196078431372549,0.12,50
population_state_speed,751348571,LGd,spontaneous,2071,15,ok,0.09608200006332568,0.08921214373163311,-0.00686985633169257,-0.0025571188912393208,0.002048431261307343,-0.004312737440453249,1.0,0.12,50
population_state_speed,751348571,VISl,spontaneous,2071,15,ok,0.26315341159309746,0.26460496891341934,0.0014515573203218723,-0.001950528684408015,0.0012958803533875988,0.0034020860047298874,0.0392156862745098,0.04,50
population_state_speed,751348571,VISp,spontaneous,2071,15,ok,0.10311069234528303,0.10216613354273263,-0.0009445588025503993,-0.0022606689407708757,0.0017810956787423042,0.0013161101382204764,0.19607843137254902,0.12,50
