target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
active_unit_fraction,751348571,CA1,spontaneous,2071,15,ok,0.12657871499328366,0.21746081822704388,0.09088210323376023,-0.00438340502575423,0.0021720005656935553,0.09526550825951445,0.0196078431372549,0.04,50
active_unit_fraction,751348571,LGd,spontaneous,2071,15,ok,0.45435225923964395,0.4756888840720539,0.021336624832409945,-0.002877867729068182,0.0015050644767209353,0.024214492561478125,0.0196078431372549,0.02,50
active_unit_fraction,751348571,VISl,spontaneous,2071,15,ok,0.4432859808500338,0.5148277050789865,0.07154172422895266,-0.0030091985802929533,0.0016404520935653325,0.07455092280924562,0.0196078431372549,0.04,50
active_unit_fraction,751348571,VISp,spontaneous,2071,15,ok,0.43315865853922475,0.4990916266288684,0.06593296808964366,-0.0028948351320554466,0.0015209353842184146,0.06882780322169911,0.0196078431372549,0.02,50
population_rate_entropy,751348571,CA1,spontaneous,2071,15,ok,0.10548200196653001,0.2053033127870817,0.09982131082055168,-0.005195293594686996,0.002427521105705592,0.10501660441523868,0.0196078431372549,0.04,50
population_rate_entropy,751348571,LGd,spontaneous,2071,15,ok,0.39032441205641755,0.4092971093197286,0.018972697263311078,-0.0030348015621177614,0.002171516500152209,0.02200749882542884,0.0196078431372549,0.04,50
population_rate_entropy,751348571,VISl,spontaneous,2071,15,ok,0.4170992891759949,0.4732190620525708,0.05611977287657588,-0.0030879201112800135,0.0017671379166929184,0.059207692987855894,0.0196078431372549,0.06,50
population_rate_entropy,751348571,VISp,spontaneous,2071,15,ok,0.36366644723069586,0.42607460255197616,0.0624081553212803,-0.0034432121557164772,0.0019888539207921865,0.06585136747699678,0.0196078431372549,0.04,50
population_mean_rate_hz,751348571,CA1,spontaneous,2071,15,ok,0.23564943380138925,0.3591665156439816,0.12351708184259236,-0.004069336265115122,0.0017719522075863023,0.1275864181077075,0.0196078431372549,0.02,50
population_mean_rate_hz,751348571,LGd,spontaneous,2071,15,ok,0.5899875882651628,0.6067840420061625,0.016796453740999695,-0.002266901850617291,0.0008520442818769718,0.019063355591616985,0.0196078431372549,0.0,50
population_mean_rate_hz,751348571,VISl,spontaneous,2071,15,ok,0.38398565034276244,0.4199186444558439,0.035932994113081484,-0.0030133070259493523,0.0015503552596515,0.03894630113903084,0.0196078431372549,0.02,50
population_mean_rate_hz,751348571,VISp,spontaneous,2071,15,ok,0.4134198945707187,0.4410771417044874,0.027657247133768714,-0.003020883134976811,0.0016290468133629064,0.030678130268745524,0.0196078431372549,0.04,50
population_state_speed,751348571,CA1,spontaneous,2071,15,ok,0.07232918461536775,0.08908312396125384,0.016753939345886093,-0.00473586988016975,0.0023122992343586977,0.021489809226055843,0.0196078431372549,0.02,50
population_state_speed,751348571,LGd,spontaneous,2071,15,ok,0.09608200006332568,0.0911760926421411,-0.004905907421184574,-0.004692714077924325,0.0023287480020140927,-0.00021319334326024963,0.5882352941176471,0.02,50
population_state_speed,751348571,VISl,spontaneous,2071,15,ok,0.26315341159309746,0.2612423507071644,-0.0019110608859330691,-0.004036069296289113,0.0016975420883777771,0.0021250084103560437,0.13725490196078433,0.02,50
population_state_speed,751348571,VISp,spontaneous,2071,15,ok,0.10311069234528303,0.10391140108026053,0.0008007087349775066,-0.0045037492555294765,0.0020904536211944096,0.005304457990506983,0.0196078431372549,0.0,50
