target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory
active_unit_fraction,4,0.4389683188689375,0.4757198171534146,0.042457302845174516,0.04277682986104944,1.0,-0.0016451899641642665,-0.0017097780758083636,0.04383245378806514,0.04448660793685781,1.0,0.0196078431372549,0.0196078431372549,1
population_rate_entropy,4,0.37872500796526665,0.40570582100113484,0.03659163231907642,0.040292975349098425,1.0,-0.0016368608458270173,-0.0017519246306499942,0.03818792809655964,0.042044899979748425,1.0,0.0196078431372549,0.0196078431372549,2
population_mean_rate_hz,4,0.3978918321464234,0.4141174088617092,0.01622557671528585,0.034472647140539436,1.0,-0.0016349238239997178,-0.0015612179136798281,0.01786050053928557,0.03603386505421926,1.0,0.0196078431372549,0.0196078431372549,3
population_state_speed,4,0.10247600843390015,0.10513635464308513,0.00373983869204908,0.005197289725496879,1.0,-0.0022816290900080373,-0.0022480480023033523,0.005755055467051251,0.0074453377278002305,1.0,0.0196078431372549,0.0196078431372549,4
