target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
active_unit_fraction,719161530,CA1,spontaneous,2086,15,ok,0.19315438531040285,0.23633541386674917,0.04318102855634631,-0.0020077804001005493,0.0017657822218595208,0.04518880895644686,0.0196078431372549,0.08,50
active_unit_fraction,719161530,LGd,spontaneous,2086,15,ok,0.5583215443449272,0.5910468949188321,0.03272535057390491,-0.00118917593352025,0.0007822176503784326,0.03391452650742516,0.0196078431372549,0.06,50
active_unit_fraction,719161530,VISl,spontaneous,2086,15,ok,0.27255801068975705,0.3271043811180363,0.054546370428279256,-0.0021546252860327143,0.001160600074327559,0.05670099571431197,0.0196078431372549,0.04,50
active_unit_fraction,719161530,VISp,spontaneous,2086,15,ok,0.45519593685126514,0.5017625411294862,0.04656660427822101,-0.001241786406762191,0.001042865777105483,0.0478083906849832,0.0196078431372549,0.08,50
population_rate_entropy,719161530,CA1,spontaneous,2086,15,ok,0.20386765245295113,0.23905192020005117,0.03518426774710004,-0.0015803621133262235,0.0019703879319719723,0.036764629860426265,0.0196078431372549,0.18,50
population_rate_entropy,719161530,LGd,spontaneous,2086,15,ok,0.45706271179508384,0.48489553340784,0.02783282161275613,-0.0015517273381418617,0.0009752402832782269,0.029384548950897992,0.0196078431372549,0.06,50
population_rate_entropy,719161530,VISl,spontaneous,2086,15,ok,0.21342804981712404,0.262367596348556,0.048939546531431954,-0.0019428766187136758,0.0016036350856482194,0.05088242315014563,0.0196078431372549,0.1,50
population_rate_entropy,719161530,VISp,spontaneous,2086,15,ok,0.37335640143238213,0.41425008211666936,0.040893680684287226,-0.00136345504669539,0.0012773202842717736,0.042257135730982616,0.0196078431372549,0.12,50
population_mean_rate_hz,719161530,CA1,spontaneous,2086,15,ok,0.15188367909911493,0.18207823040252913,0.030194551303414197,-0.0022703458554672396,0.0014805786291724242,0.032464897158881435,0.0196078431372549,0.08,50
population_mean_rate_hz,719161530,LGd,spontaneous,2086,15,ok,0.62006534971712,0.6530377761994179,0.03297242648229792,-0.0011256468651586692,0.0006556766905832536,0.03409807334745659,0.0196078431372549,0.04,50
population_mean_rate_hz,719161530,VISl,spontaneous,2086,15,ok,0.31382308975668705,0.32856742360940294,0.014744333852715896,-0.0015269852026939957,0.0012381499548291782,0.01627131905540989,0.0196078431372549,0.12,50
population_mean_rate_hz,719161530,VISp,spontaneous,2086,15,ok,0.4193743520402857,0.4479290437227449,0.028554691682459166,-0.0015853115837717868,0.0013613962157572098,0.030140003266230952,0.0196078431372549,0.12,50
population_state_speed,719161530,CA1,spontaneous,2086,15,ok,0.1185887748930482,0.13182792681176547,0.013239151918717273,-0.0020955607821639168,0.0016342815055778457,0.01533471270088119,0.0196078431372549,0.12,50
population_state_speed,719161530,LGd,spontaneous,2086,15,ok,0.056940805056761135,0.05840924760083821,0.0014684425440770754,-0.002635662323680661,0.002092536306212995,0.004104104867757736,0.058823529411764705,0.1,50
population_state_speed,719161530,VISl,spontaneous,2086,15,ok,0.12596315014603776,0.12565647982188133,-0.0003066703241564328,-0.002501712367415967,0.0016165859209863178,0.0021950420432595343,0.09803921568627451,0.06,50
population_state_speed,719161530,VISp,spontaneous,2086,15,ok,0.11296812950151625,0.11519759531615836,0.0022294658146421176,-0.0021799005160725747,0.0011128121619121652,0.004409366330714692,0.0196078431372549,0.06,50
