target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
active_unit_fraction,719161530,CA1,spontaneous,2071,15,ok,0.19328516003719065,0.2565684180147175,0.06328325797752687,-0.003983989878583771,0.00222327743368027,0.06726724785611064,0.0196078431372549,0.08,50
active_unit_fraction,719161530,LGd,spontaneous,2071,15,ok,0.5551169294993901,0.5967229703178324,0.041606040818442325,-0.0023457007473798885,0.0011053081697600048,0.04395174156582221,0.0196078431372549,0.04,50
active_unit_fraction,719161530,VISl,spontaneous,2071,15,ok,0.2732956021852533,0.341974306947626,0.0686787047623727,-0.0037634411783877674,0.001953329754902068,0.07244214594076047,0.0196078431372549,0.04,50
active_unit_fraction,719161530,VISp,spontaneous,2071,15,ok,0.457827304124918,0.5198316549583958,0.06200435083347777,-0.002923051828137273,0.0017169761365740496,0.06492740266161505,0.0196078431372549,0.04,50
population_rate_entropy,719161530,CA1,spontaneous,2071,15,ok,0.20212593024598857,0.2727071290871703,0.07058119884118175,-0.003973555082956302,0.0023719750633264245,0.07455475392413805,0.0196078431372549,0.02,50
population_rate_entropy,719161530,LGd,spontaneous,2071,15,ok,0.4542372569457974,0.48532037449303866,0.031083117547241246,-0.0030086058551348936,0.0015534163640393952,0.03409172340237614,0.0196078431372549,0.06,50
population_rate_entropy,719161530,VISl,spontaneous,2071,15,ok,0.21846958951255724,0.2803944194272474,0.06192482991469017,-0.004273227512046416,0.0023086974590630542,0.06619805742673658,0.0196078431372549,0.06,50
population_rate_entropy,719161530,VISp,spontaneous,2071,15,ok,0.37631591611092596,0.4324587818290142,0.05614286571808824,-0.002866117263427608,0.001749435250002673,0.05900898298151585,0.0196078431372549,0.08,50
population_mean_rate_hz,719161530,CA1,spontaneous,2071,15,ok,0.15311332046477433,0.18557731842757608,0.03246399796280175,-0.0045352192239934055,0.0020918427076053025,0.03699921718679516,0.0196078431372549,0.0,50
population_mean_rate_hz,719161530,LGd,spontaneous,2071,15,ok,0.6185121364429058,0.6629099437989295,0.04439780735602372,-0.0022654639141905107,0.0009650526614013858,0.04666327127021423,0.0196078431372549,0.02,50
population_mean_rate_hz,719161530,VISl,spontaneous,2071,15,ok,0.31542580555911537,0.32742266257273267,0.011996857013617301,-0.003099351947115718,0.0020484997045129264,0.015096208960733019,0.0196078431372549,0.06,50
population_mean_rate_hz,719161530,VISp,spontaneous,2071,15,ok,0.4219266629141578,0.4645483179865536,0.04262165507239579,-0.003258255290048546,0.0014103110331281107,0.04587991036244434,0.0196078431372549,0.0,50
population_state_speed,719161530,CA1,spontaneous,2071,15,ok,0.11594723449667599,0.13429468896847818,0.018347454471802194,-0.004528553538216866,0.002945793394907658,0.022876008010019058,0.0196078431372549,0.08,50
population_state_speed,719161530,LGd,spontaneous,2071,15,ok,0.057714583729127966,0.05838182221370847,0.0006672384845805013,-0.005582012863394949,0.0023550605835154378,0.0062492513479754505,0.0392156862745098,0.02,50
population_state_speed,719161530,VISl,spontaneous,2071,15,ok,0.12172245281607375,0.13317182833936725,0.011449375523293503,-0.004799970062521399,0.0019645721963732717,0.016249345585814902,0.0196078431372549,0.02,50
population_state_speed,719161530,VISp,spontaneous,2071,15,ok,0.11351183674382148,0.11787523116535248,0.004363394421530997,-0.005284274290564241,0.0024584830232675632,0.009647668712095239,0.0196078431372549,0.04,50
