figure,description,source,run_note
real_allen_observed_minus_shuffle_gain.png,Difference between observed memory gain and the mean shuffled-lag memory gain for each region-stimulus group.,real_memory_negative_control_summary.csv,"{'n_ok_groups': 8, 'median_observed_gain': 0.0004399958019044, 'mean_observed_gain': 0.0142956456614642, 'fraction_observed_positive': 0.5, 'median_shuffle_gain_mean': -0.0349323665751176, 'mean_shuffle_gain_mean': -0.0373072945122726, 'median_observed_minus_shuffle': 0.0516360432837744, 'mean_observed_minus_shuffle': 0.0516029401737369, 'fraction_observed_above_shuffle_mean': 0.875, 'median_empirical_p': 0.0445544554455445}"
real_allen_observed_vs_shuffle_memory_gain.png,Observed memory gain compared with shuffled-lag null mean and standard deviation.,real_memory_negative_control_summary.csv,"{'n_ok_groups': 8, 'median_observed_gain': 0.0004399958019044, 'mean_observed_gain': 0.0142956456614642, 'fraction_observed_positive': 0.5, 'median_shuffle_gain_mean': -0.0349323665751176, 'mean_shuffle_gain_mean': -0.0373072945122726, 'median_observed_minus_shuffle': 0.0516360432837744, 'mean_observed_minus_shuffle': 0.0516029401737369, 'fraction_observed_above_shuffle_mean': 0.875, 'median_empirical_p': 0.0445544554455445}"
real_allen_shuffle_empirical_p_values.png,Empirical p-values from the shuffled-lag negative control. Lower values mean observed gain exceeds most shuffled controls.,real_memory_negative_control_summary.csv,"{'n_ok_groups': 8, 'median_observed_gain': 0.0004399958019044, 'mean_observed_gain': 0.0142956456614642, 'fraction_observed_positive': 0.5, 'median_shuffle_gain_mean': -0.0349323665751176, 'mean_shuffle_gain_mean': -0.0373072945122726, 'median_observed_minus_shuffle': 0.0516360432837744, 'mean_observed_minus_shuffle': 0.0516029401737369, 'fraction_observed_above_shuffle_mean': 0.875, 'median_empirical_p': 0.0445544554455445}"
real_allen_shuffle_distribution_with_observed.png,Distribution of shuffled-lag memory gains with observed gain overlaid as diamond markers.,real_memory_negative_control_shuffles.csv,"{'n_ok_groups': 8, 'median_observed_gain': 0.0004399958019044, 'mean_observed_gain': 0.0142956456614642, 'fraction_observed_positive': 0.5, 'median_shuffle_gain_mean': -0.0349323665751176, 'mean_shuffle_gain_mean': -0.0373072945122726, 'median_observed_minus_shuffle': 0.0516360432837744, 'mean_observed_minus_shuffle': 0.0516029401737369, 'fraction_observed_above_shuffle_mean': 0.875, 'median_empirical_p': 0.0445544554455445}"
