target,session_id,region,stimulus_family,shuffle_id,shuffle_memory_gain_r2
active_unit_fraction,756029989,CA1,spontaneous,0,-0.008223315725134683
active_unit_fraction,756029989,CA1,spontaneous,1,-0.0014467152895715207
active_unit_fraction,756029989,CA1,spontaneous,2,-0.00900257364992374
active_unit_fraction,756029989,CA1,spontaneous,3,-0.009536322476215608
active_unit_fraction,756029989,CA1,spontaneous,4,-0.007727180090924768
active_unit_fraction,756029989,CA1,spontaneous,5,-0.004059488716574466
active_unit_fraction,756029989,CA1,spontaneous,6,-0.007203237637049553
active_unit_fraction,756029989,CA1,spontaneous,7,-0.007756898374818744
active_unit_fraction,756029989,CA1,spontaneous,8,-0.0071012387442963565
active_unit_fraction,756029989,CA1,spontaneous,9,-0.006251557345369085
active_unit_fraction,756029989,CA1,spontaneous,10,-0.009608762275392757
active_unit_fraction,756029989,CA1,spontaneous,11,-0.00928054565767955
active_unit_fraction,756029989,CA1,spontaneous,12,-0.009729940904216083
active_unit_fraction,756029989,CA1,spontaneous,13,-0.006498536575603953
active_unit_fraction,756029989,CA1,spontaneous,14,-0.008906062893572764
active_unit_fraction,756029989,CA1,spontaneous,15,-0.010320183529356375
active_unit_fraction,756029989,CA1,spontaneous,16,-0.00811242950797364
active_unit_fraction,756029989,CA1,spontaneous,17,-0.006143635797109193
active_unit_fraction,756029989,CA1,spontaneous,18,-0.004118960404594141
active_unit_fraction,756029989,CA1,spontaneous,19,-0.010387746963423372
active_unit_fraction,756029989,CA1,spontaneous,20,-0.005601147649555105
active_unit_fraction,756029989,CA1,spontaneous,21,-7.469706994411851e-05
active_unit_fraction,756029989,CA1,spontaneous,22,-0.00953407242676807
active_unit_fraction,756029989,CA1,spontaneous,23,-0.007546754116550924
active_unit_fraction,756029989,CA1,spontaneous,24,-0.006611727980016746
active_unit_fraction,756029989,CA1,spontaneous,25,-0.007118819465705695
active_unit_fraction,756029989,CA1,spontaneous,26,-0.005444526707235164
active_unit_fraction,756029989,CA1,spontaneous,27,-0.01080600130207443
active_unit_fraction,756029989,CA1,spontaneous,28,-0.004397849747915017
active_unit_fraction,756029989,CA1,spontaneous,29,-0.006044153867225344
active_unit_fraction,756029989,CA1,spontaneous,30,-0.002201450332048438
active_unit_fraction,756029989,CA1,spontaneous,31,-0.006492185853054111
