axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.35460482382022357,0.36971813906013523
R,0.33,0.66,-0.13666116055765815,0.7152037648065701
S,0.33,0.66,-0.09258749908157654,0.3239510579387141
M,0.33,0.66,-0.1688931057144484,0.1412442897419628
