target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory
population_mean_rate_hz,4,0.49299460038769227,0.5492865597675151,0.07470584257283375,0.06884047776502242,1.0,-0.00261529048868838,-0.002894673808887689,0.07723256453176626,0.07173515157391011,1.0,0.009900990099009901,0.009900990099009901,1
population_l2_rate_norm,4,0.4400853196589489,0.49208771305941396,0.05728197067470897,0.059890961526219005,1.0,-0.0027857534629412203,-0.0027353959272294528,0.059716136909803694,0.06262635745344845,1.0,0.009900990099009901,0.009900990099009901,2
active_unit_fraction,4,0.3866955285403212,0.3522820656605462,0.05140691925127644,0.0035182430339420756,0.75,-0.003020469910339648,-0.0028510483990118536,0.05515759053842535,0.006369291432953932,0.75,0.009900990099009901,0.009900990099009901,3
population_std_rate_hz,4,0.3847842616900074,0.437122165617069,0.0492408115878058,0.05465063380274829,1.0,-0.003232220176240452,-0.0032021310910963245,0.052427067730372125,0.05785276489384461,1.0,0.009900990099009901,0.009900990099009901,4
population_rate_entropy,4,0.29276844814298225,0.33669790960338014,0.038098977391989086,0.03341310571465672,1.0,-0.0038741456056995537,-0.0033732438223802847,0.042214869265634385,0.03678634953703701,1.0,0.009900990099009901,0.009900990099009901,5
population_state_speed,4,0.05103328678125002,0.054956698007849525,-0.002420529301809693,-0.002228604017083191,0.5,-0.004884428774933445,-0.004821410974388447,0.002156174295212359,0.002592806957305255,0.5,0.42079207920792083,0.009900990099009901,6
