region,n_sessions,median_ripeness,mean_ripeness,median_phi,median_mean_rate_controlled_gain,median_active_controlled_gain,median_entropy_controlled_gain,region_rank
CA1,3,0.6333333333333333,0.5812499999999999,-0.113984210997188,0.0520583862325861,0.0675734145262095,0.0742925205722976,1
VISl,3,0.5916666666666667,0.6340277777777777,-0.0675699981900686,0.0309567366652331,0.0752560199898695,0.0922152059101105,2
LGd,3,0.47708333333333336,0.48541666666666666,0.4084742683919148,0.0356064049498852,0.0424325882029376,0.0344485700581348,3
VISp,3,0.38125,0.44930555555555557,0.1318015165498064,0.0271321293005801,0.0628619719265954,0.0590884078014188,4
