target,n_sessions,median_rank,mean_rank,median_observed_gain,mean_observed_gain,median_observed_minus_shuffle,mean_observed_minus_shuffle,min_fraction_above_shuffle,median_empirical_p,cross_session_rank
active_unit_fraction,2,1.0,1.0,0.069519878122795,0.06614091845072725,0.0726408072704871,0.06937460895889826,1.0,0.0099009900990099,1
population_rate_entropy,2,2.0,2.0,0.06164412068790209,0.06041740196385045,0.06501023230754971,0.0636629737508149,1.0,0.0099009900990099,2
population_mean_rate_hz,2,4.0,4.0,0.036722272259495606,0.036887147459139596,0.0404374850238226,0.04022060466282015,1.0,0.0099009900990099,3
population_l2_rate_norm,2,4.0,4.0,0.03495678714229625,0.030905289660316103,0.038749759646384746,0.03466467310841155,1.0,0.0099009900990099,4
population_std_rate_hz,2,4.0,4.0,0.03231028645354765,0.0281959758503928,0.03621251235419225,0.0321953808966812,1.0,0.0099009900990099,5
population_state_speed,2,6.0,6.0,-0.0011871926132057996,-0.006440886554208199,0.00402228816144755,-0.0012494102013611,0.25,0.39603960396039606,6
