axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.28951713686871905,0.5203010141372708
R,0.33,0.66,-0.13669893310269896,0.7299292711910091
S,0.33,0.66,-0.11041591404090619,0.2666217615134605
M,0.33,0.66,-0.2699897462986074,0.21464977048741482
