axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.46183705258905994,0.4256370537675398
R,0.33,0.66,-0.028839523434501323,0.99339498178989
S,0.33,0.66,-0.15202828584699996,0.24103778139800655
M,0.33,0.66,-0.22123962046770587,0.3202184846922556
