session_id,region,stimulus_family,shuffle_id,shuffle_memory_gain_r2
715093703,CA1,drifting_gratings,98,0.026784121799282357
715093703,CA1,drifting_gratings,99,-0.12938457121777514
715093703,CA1,spontaneous,0,-0.026652461234858094
715093703,CA1,spontaneous,1,-0.02214989806471379
715093703,CA1,spontaneous,2,-0.007408861204336481
715093703,CA1,spontaneous,3,-0.017746395762411882
715093703,CA1,spontaneous,4,-0.043157732374495494
715093703,CA1,spontaneous,5,-0.026228622811540037
715093703,CA1,spontaneous,6,-0.02220004065962433
715093703,CA1,spontaneous,7,-0.018781917098098067
715093703,CA1,spontaneous,8,-0.019403657461116386
715093703,CA1,spontaneous,9,-0.00897354026485453
715093703,CA1,spontaneous,10,-0.013194891800409336
715093703,CA1,spontaneous,11,-0.026349861005200204
715093703,CA1,spontaneous,12,-0.021430119425262295
715093703,CA1,spontaneous,13,-0.017087457219046143
715093703,CA1,spontaneous,14,-0.01978572562692582
715093703,CA1,spontaneous,15,-0.03273672749337986
715093703,CA1,spontaneous,16,-0.03338239636053475
715093703,CA1,spontaneous,17,-0.024013681795248765
715093703,CA1,spontaneous,18,-0.011321813572329975
715093703,CA1,spontaneous,19,-0.015662490473488222
715093703,CA1,spontaneous,20,0.0035860731186346806
715093703,CA1,spontaneous,21,-0.012742609782550929
715093703,CA1,spontaneous,22,-0.020055983138014377
715093703,CA1,spontaneous,23,-0.01402256395960999
715093703,CA1,spontaneous,24,-0.03256231699072487
715093703,CA1,spontaneous,25,-0.024866217483409225
715093703,CA1,spontaneous,26,-0.022489573378055128
715093703,CA1,spontaneous,27,-0.024956500650603064
715093703,CA1,spontaneous,28,-0.02486732715365403
715093703,CA1,spontaneous,29,-0.03468142566433774
715093703,CA1,spontaneous,30,-0.0023348476900552084
715093703,CA1,spontaneous,31,-0.03042824128562549
715093703,CA1,spontaneous,32,0.020482868687299316
715093703,CA1,spontaneous,33,-0.01357384720312138
715093703,CA1,spontaneous,34,-0.016129637126863328
715093703,CA1,spontaneous,35,-0.03511788631286539
715093703,CA1,spontaneous,36,-0.008521071918574208
715093703,CA1,spontaneous,37,-0.023623722151093984
715093703,CA1,spontaneous,38,-0.023420235549038382
715093703,CA1,spontaneous,39,-0.009748464834452353
715093703,CA1,spontaneous,40,-0.020925285696964835
