session_id,region,stimulus_family,H,R,S,M,Phi_neural,n_state_rows,n_presentations,mean_population_rate_hz,mean_state_speed,mean_active_fraction,dominant_hrsm_domain,H_domain,R_domain,S_domain,M_domain,hrsm_domain,analysis_warning
715093703,CA1,drifting_gratings,0.8032610771671624,-0.028971238447521475,-0.21915950554732996,0.054783582228502825,0.10270518557644737,180,20,10.295555555555556,19.389724966013777,0.4788888888888889,high_high_low_low,high,low,mid,mid,high_low_mid_mid,ok
715093703,CA1,natural_scenes,-1.0959002636353814,0.15010975268211035,-0.2315647639064365,0.1396463364313916,-0.2464844961066799,40,20,5.279999999999999,30.407656001807787,0.26,low_low_low_high,low,mid,low,mid,low_mid_low_mid,ok
715093703,CA1,spontaneous,0.2877537657848691,-0.019965397918678685,0.08884032052327356,0.09826698805699227,0.03582412591489667,533,15,8.988367729831145,16.83491779508821,0.526829268292683,mid_low_high_high,high,mid,high,mid,high_mid_high_mid,ok
715093703,LGd,drifting_gratings,-0.386922065494415,0.5289187346002262,-0.02379448919206302,-0.05823941721273079,-0.060150171283664504,180,20,5.333333333333333,12.617372050253417,0.3477777777777778,low_low_low_mid,mid,mid,mid,low,mid_mid_mid_low,ok
715093703,LGd,natural_scenes,-0.9191245685415041,-0.03460331998754107,-0.2618910636801537,0.2748784221678148,-0.2453741976433199,40,20,5.6,25.926350430161154,0.37,low_low_low_high,mid,low,low,high,mid_low_low_high,ok
715093703,LGd,spontaneous,0.4468799294081229,0.4388528566870369,0.24463063835462207,0.4172458955730013,0.3179725389571648,533,15,9.468667917448405,12.473196018341605,0.6508442776735459,high_mid_mid_high,high,mid,high,high,high_mid_high_high,ok
715093703,VISl,drifting_gratings,-0.9596524523163388,0.9702463228010527,0.03435055342946389,-0.09616609781798705,-0.06985966283666611,180,20,3.184444444444445,7.960971686717983,0.31555555555555553,low_high_mid_low,low,high,mid,low,low_high_mid_low,ok
715093703,VISl,natural_scenes,-1.4787185150427042,0.7627851205558576,0.05585748139706828,0.6201367318876404,-0.08903748047452864,40,20,2.5300000000000002,13.46149112281606,0.2525,low_low_low_high,low,high,mid,high,low_high_mid_high,ok
715093703,VISl,spontaneous,-1.0131888208098956,1.1224177244599884,0.15463961254005154,-0.25400310681202465,-0.04882960086114309,533,15,2.100562851782364,4.596863630990767,0.2821763602251407,low_high_mid_low,low,high,high,low,low_high_high_low,ok
715093703,VISp,drifting_gratings,1.0435286077448045,-0.20921901983968638,-0.27601679960600034,0.44605378449343236,0.2782310870112318,180,20,13.96,19.64727777015045,0.575,high_high_low_low,high,low,low,high,high_low_low_high,ok
715093703,VISp,natural_scenes,-0.6327905780892844,-1.7486553828824385,-0.4601072619742874,0.021782643205610144,-0.6695173068816385,40,20,8.82,43.11905679973259,0.3625,low_low_low_high,mid,low,low,low,mid_low_low_low,ok
715093703,VISp,spontaneous,0.2066064485956044,0.6066142294386185,0.12476439419551033,0.02363302256222255,0.16697746244274503,533,15,7.481425891181988,10.502775833409231,0.48348968105065665,low_high_mid_low,mid,high,high,mid,mid_high_high_mid,ok
