target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory
population_rate_entropy,8,0.09471546480215182,0.08869321338214098,0.0116346288585914,0.007620466817662569,0.625,-0.044539191007732876,-0.05114102522163734,0.0876368889244819,0.058761492039299916,0.75,0.04455445544554455,0.009900990099009901,1
active_unit_fraction,8,0.13341812355988691,0.14683650731760506,0.013735960665232971,0.01468097439940555,0.5,-0.04746212280018267,-0.047224525516556815,0.07680966368174948,0.061905499915962364,0.875,0.07920792079207921,0.009900990099009901,2
population_mean_rate_hz,8,0.3061516322624779,0.37445964764159456,0.00043999580190440257,0.014295645661464226,0.5,-0.03662089986920586,-0.04091255829072822,0.05248778607119034,0.05520820395219245,0.875,0.039603960396039604,0.009900990099009901,3
population_l2_rate_norm,8,0.28649323502638396,0.3273091084763214,0.00637233982951646,0.0024384081577195904,0.625,-0.035680887723307034,-0.040609432915649654,0.04115925977638485,0.043047841073369245,0.75,0.029702970297029705,0.009900990099009901,4
population_std_rate_hz,8,0.2295801281865406,0.23397050527656255,0.0024054294024200007,-0.0013793074600101513,0.5,-0.036271527120471034,-0.04211165822871073,0.030268896559114425,0.040732350768700576,0.875,0.07920792079207921,0.009900990099009901,5
population_state_speed,8,0.08703290723321894,0.06253103927026038,-0.05028790220502655,-0.04445022151646588,0.0,-0.043647233333948696,-0.048181048118017634,0.005275907943942363,0.0037308266015517494,0.75,0.37623762376237624,0.1188118811881188,6
