axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.3760904746586877,0.5190003540682452
R,0.33,0.66,-0.09801254105042849,0.7475289231632112
S,0.33,0.66,-0.12504797573616855,0.267766070112384
M,0.33,0.66,-0.33012358578887013,0.22395379842247032
