target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
active_unit_fraction,715093703,CA1,spontaneous,2086,15,ok,0.17435566510300438,0.2597362754083855,0.08538061030538113,-0.001996760292901012,0.0020961792127673017,0.08737737059828214,0.0196078431372549,0.1,50
active_unit_fraction,715093703,LGd,spontaneous,2086,15,ok,0.38750088452359,0.40315608318576934,0.015655198662179348,-0.0013872550271529383,0.0012152701922984442,0.017042453689332285,0.0196078431372549,0.14,50
active_unit_fraction,715093703,VISl,spontaneous,2086,15,ok,0.40126316717448307,0.4695151387089247,0.06825197153444162,-0.0016890374343464876,0.0010869780682746092,0.06994100896878812,0.0196078431372549,0.1,50
active_unit_fraction,715093703,VISp,spontaneous,2086,15,ok,0.5840284098884971,0.6253439811392166,0.041315571250719496,-0.0012869779318482966,0.0008649988949651339,0.04260254918256779,0.0196078431372549,0.06,50
population_rate_entropy,715093703,CA1,spontaneous,2086,15,ok,0.17820920987577904,0.2507624151722878,0.07255320529650877,-0.0018460370691834038,0.0021909381269070664,0.07439924236569218,0.0196078431372549,0.12,50
population_rate_entropy,715093703,LGd,spontaneous,2086,15,ok,0.3185141568839388,0.34005954098794877,0.021545384104009968,-0.0021130924384527173,0.001803038459415046,0.023658476542462684,0.0196078431372549,0.08,50
population_rate_entropy,715093703,VISl,spontaneous,2086,15,ok,0.36943246558861875,0.4488001078611281,0.07936764227250936,-0.0018300978614484032,0.0012128471651729022,0.08119774013395777,0.0196078431372549,0.08,50
population_rate_entropy,715093703,VISp,spontaneous,2086,15,ok,0.6248693755480426,0.6434696545073704,0.01860027895932781,-0.0006207756315381641,0.0025095313475875965,0.019221054590865972,0.0196078431372549,0.38,50
population_mean_rate_hz,715093703,CA1,spontaneous,2086,15,ok,0.10988314244214092,0.14831541637253343,0.0384322739303925,-0.0020237397591705863,0.0013825966020536802,0.040456013689563086,0.0196078431372549,0.08,50
population_mean_rate_hz,715093703,LGd,spontaneous,2086,15,ok,0.49483381703172635,0.50734325416389,0.012509437132163681,-0.0013619867362556159,0.0011405226524892605,0.013871423868419297,0.0196078431372549,0.18,50
population_mean_rate_hz,715093703,VISl,spontaneous,2086,15,ok,0.4161537407719975,0.47403621926456907,0.057882478492571554,-0.0015848013220614732,0.0012047157601297717,0.059467279814633026,0.0196078431372549,0.08,50
population_mean_rate_hz,715093703,VISp,spontaneous,2086,15,ok,0.5112532395018272,0.5304060632478168,0.01915282374598959,-0.0011962132523235457,0.0009418154657224977,0.020349036998313134,0.0196078431372549,0.1,50
population_state_speed,715093703,CA1,spontaneous,2086,15,ok,0.1250379153915977,0.14395673682114463,0.018918821429546928,-0.0019070660666553917,0.0018424191534846372,0.02082588749620232,0.0196078431372549,0.14,50
population_state_speed,715093703,LGd,spontaneous,2086,15,ok,0.03335480756832121,0.03307500660113927,-0.00027980096718194236,-0.003019206928766802,0.0016720643044678474,0.00273940596158486,0.0784313725490196,0.06,50
population_state_speed,715093703,VISl,spontaneous,2086,15,ok,0.061163181355054275,0.056045674526439604,-0.005117506828614671,-0.002537063988816117,0.001607010412218746,-0.0025804428397985537,1.0,0.08,50
population_state_speed,715093703,VISp,spontaneous,2086,15,ok,0.03639648875373502,0.03482162774192743,-0.0015748610118075934,-0.0024336182024315756,0.002487793302745829,0.0008587571906239822,0.29411764705882354,0.14,50
