axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.3263707548904042,0.6083722450583594
R,0.33,0.66,-0.16290358490713874,0.7474853311869321
S,0.33,0.66,-0.1001910963793242,0.2907067830369009
M,0.33,0.66,-0.2577184964923963,0.21491930853985403
