target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
population_mean_rate_hz,754312389,CA1,spontaneous,2072,15,ok,0.2764448154428598,0.3829856506043008,0.10654083516144097,-0.0039679535485793276,0.001586620471144912,0.1105087887100203,0.009900990099009901,0.01,100
population_mean_rate_hz,754312389,LGd,spontaneous,2072,15,ok,0.5839542678602647,0.5931289817076191,0.009174713847354354,-0.0021789724305762404,0.0012462990617776676,0.011353686277930595,0.009900990099009901,0.05,100
population_mean_rate_hz,754312389,VISl,spontaneous,2072,15,ok,0.35244348307573836,0.3695194126486723,0.017075929572933912,-0.0034298841726901285,0.0015989498834183945,0.02050581374562404,0.009900990099009901,0.03,100
population_mean_rate_hz,754312389,VISp,spontaneous,2072,15,ok,0.23915888990670653,0.25953872754693985,0.020379837640233323,-0.00391647875931968,0.0019744286585746834,0.024296316399553004,0.009900990099009901,0.03,100
population_std_rate_hz,754312389,CA1,spontaneous,2072,15,ok,0.27152115887660855,0.39161957366251887,0.12009841478591032,-0.0032071186423999285,0.002185816414765429,0.12330553342831026,0.009900990099009901,0.06,100
population_std_rate_hz,754312389,LGd,spontaneous,2072,15,ok,0.5779566581363507,0.6055544827748949,0.02759782463854421,-0.002336183121495258,0.0012091607119412027,0.029934007760039467,0.009900990099009901,0.06,100
population_std_rate_hz,754312389,VISl,spontaneous,2072,15,ok,0.22097608732431784,0.24361930039002133,0.022643213065703494,-0.0038456554332436887,0.0021234631060589705,0.02648886849894718,0.009900990099009901,0.07,100
population_std_rate_hz,754312389,VISp,spontaneous,2072,15,ok,0.07856665615877056,0.08365206537307734,0.00508540921430678,-0.0047830734024562295,0.0024761136057261154,0.00986848261676301,0.009900990099009901,0.05,100
active_unit_fraction,754312389,CA1,spontaneous,2072,15,ok,0.04967076487836908,0.08441133155250868,0.034740566674139606,-0.005216565492215841,0.0024559889099365372,0.03995713216635545,0.009900990099009901,0.02,100
active_unit_fraction,754312389,LGd,spontaneous,2072,15,ok,0.5906978252874993,0.6121188892706637,0.021421063983164457,-0.002432990064793514,0.001215023793302012,0.02385405404795797,0.009900990099009901,0.03,100
active_unit_fraction,754312389,VISl,spontaneous,2072,15,ok,0.2996156499171928,0.33948123188642143,0.039865581969228625,-0.0038066726937468777,0.002090756273007413,0.0436722546629755,0.009900990099009901,0.03,100
active_unit_fraction,754312389,VISp,spontaneous,2072,15,ok,0.2576816256820714,0.31967395881612604,0.06199233313405461,-0.0039733649563562425,0.0019252707005384146,0.06596569809041085,0.009900990099009901,0.03,100
population_l2_rate_norm,754312389,CA1,spontaneous,2072,15,ok,0.28134642236422536,0.4001807464266942,0.11883432406246885,-0.0037609420130887117,0.0019695082486571604,0.12259526607555757,0.009900990099009901,0.04,100
population_l2_rate_norm,754312389,LGd,spontaneous,2072,15,ok,0.45170770003291727,0.46194423520553485,0.010236535172617578,-0.003020740751591846,0.0013262545355981284,0.013257275924209423,0.009900990099009901,0.03,100
population_l2_rate_norm,754312389,VISl,spontaneous,2072,15,ok,0.2675215689891143,0.28925150404703026,0.021729935057915983,-0.004356032595456974,0.0018679646809454638,0.026085967653372958,0.009900990099009901,0.04,100
population_l2_rate_norm,754312389,VISp,spontaneous,2072,15,ok,0.1204414700914529,0.12763112980224212,0.00718965971078922,-0.004883067291946315,0.002360334307737413,0.012072727002735536,0.009900990099009901,0.04,100
population_rate_entropy,754312389,CA1,spontaneous,2072,15,ok,0.008340017888812223,0.018443843407974114,0.01010382551916189,-0.005159830248911776,0.0026951377336457624,0.015263655768073668,0.009900990099009901,0.05,100
population_rate_entropy,754312389,LGd,spontaneous,2072,15,ok,0.7211404110455855,0.7521444549185385,0.03100404387295308,-0.0015662968162397117,0.000703952444079714,0.03257034068919279,0.009900990099009901,0.01,100
population_rate_entropy,754312389,VISl,spontaneous,2072,15,ok,0.23950840984863808,0.27044475503450094,0.030936345185862857,-0.004158375697614247,0.0021331465174837315,0.03509472088347711,0.009900990099009901,0.03,100
population_rate_entropy,754312389,VISp,spontaneous,2072,15,ok,0.21298363080326066,0.2566382853521324,0.04365465454887174,-0.004291357325570325,0.002080168721783862,0.047946011874442064,0.009900990099009901,0.02,100
population_state_speed,754312389,CA1,spontaneous,2072,15,ok,0.1059595486709306,0.1274149706431299,0.021455421972199296,-0.005082607826289488,0.0021189089198735333,0.026538029798488783,0.009900990099009901,0.01,100
population_state_speed,754312389,LGd,spontaneous,2072,15,ok,0.036797393367650755,0.04073614419841598,0.003938750830765225,-0.005198609315057938,0.0027187005696977986,0.009137360145823163,0.009900990099009901,0.03,100
population_state_speed,754312389,VISl,spontaneous,2072,15,ok,0.06662311570253121,0.06473308636569486,-0.0018900293368363519,-0.004720789321896894,0.0026771794797923387,0.002830759985060542,0.1782178217821782,0.06,100
population_state_speed,754312389,VISp,spontaneous,2072,15,ok,0.1039638398330357,0.10568179107708953,0.001717951244053828,-0.0047937081806307645,0.002772369625093754,0.0065116594246845926,0.04950495049504951,0.07,100
