target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
active_unit_fraction,715093703,CA1,spontaneous,2071,15,ok,0.17249752489488057,0.2899102089311746,0.11741268403629401,-0.004030473620274957,0.0020829667898437953,0.12144315765656898,0.0196078431372549,0.04,50
active_unit_fraction,715093703,LGd,spontaneous,2071,15,ok,0.3811227566636568,0.4044731621611858,0.02335040549752898,-0.003333492391196804,0.0013349212226866209,0.026683897888725785,0.0196078431372549,0.0,50
active_unit_fraction,715093703,VISl,spontaneous,2071,15,ok,0.39913490405802055,0.4914259193886191,0.09229101533059858,-0.002941624185053251,0.0018400788596648332,0.09523263951565183,0.0196078431372549,0.1,50
active_unit_fraction,715093703,VISp,spontaneous,2071,15,ok,0.5817885820715915,0.6422894704211684,0.0605008883495769,-0.001868664549168768,0.001593301037317143,0.06236955289874566,0.0196078431372549,0.08,50
population_rate_entropy,715093703,CA1,spontaneous,2071,15,ok,0.17669470978741242,0.27344196608160176,0.09674725629418934,-0.003839641508058309,0.00252334611259931,0.10058689780224765,0.0196078431372549,0.1,50
population_rate_entropy,715093703,LGd,spontaneous,2071,15,ok,0.3030343310231586,0.3336331688494458,0.03059883782628725,-0.0036206685122607807,0.0018866565648538549,0.034219506338548034,0.0196078431372549,0.02,50
population_rate_entropy,715093703,VISl,spontaneous,2071,15,ok,0.3671942603306887,0.4716938390751737,0.10449957874448501,-0.0032337310514276973,0.0017057468320417699,0.10773330979591271,0.0196078431372549,0.04,50
population_rate_entropy,715093703,VISp,spontaneous,2071,15,ok,0.6221265846703372,0.653888115494978,0.03176153082464084,-0.0006938058473638265,0.00267148798141957,0.03245533667200466,0.0196078431372549,0.36,50
population_mean_rate_hz,715093703,CA1,spontaneous,2071,15,ok,0.10753070310080515,0.15485764979012318,0.04732694668931803,-0.0037732412991221165,0.0033305175952805764,0.05110018798844015,0.0196078431372549,0.16,50
population_mean_rate_hz,715093703,LGd,spontaneous,2071,15,ok,0.49432812358273737,0.5099113229395623,0.01558319935682495,-0.0023912654380775634,0.0013798686635696862,0.017974464794902514,0.0196078431372549,0.04,50
population_mean_rate_hz,715093703,VISl,spontaneous,2071,15,ok,0.4149056871020068,0.49113591401067536,0.07623022690866854,-0.003045101208652443,0.001635462448812061,0.07927532811732098,0.0196078431372549,0.04,50
population_mean_rate_hz,715093703,VISp,spontaneous,2071,15,ok,0.5111251225302448,0.5356016118437119,0.02447648931346713,-0.0025512350450249267,0.0014775221913730272,0.02702772435849206,0.0196078431372549,0.04,50
population_state_speed,715093703,CA1,spontaneous,2071,15,ok,0.1251049296160619,0.14713467555505233,0.02202974593899043,-0.004781456264691346,0.0022445227628504175,0.026811202203681776,0.0196078431372549,0.02,50
population_state_speed,715093703,LGd,spontaneous,2071,15,ok,0.0329353536712772,0.026822375586476266,-0.006112978084800935,-0.004895414587901787,0.0029596486395170713,-0.0012175634968991482,0.6274509803921569,0.04,50
population_state_speed,715093703,VISl,spontaneous,2071,15,ok,0.05891394099308378,0.04446537868023703,-0.014448562312846747,-0.005202853971153061,0.002508420938934345,-0.009245708341693686,1.0,0.02,50
population_state_speed,715093703,VISp,spontaneous,2071,15,ok,0.033461983676582374,-0.05436077719963284,-0.08782276087621521,-0.00454905537372007,0.004052653131096141,-0.08327370550249515,1.0,0.12,50
