target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory
population_rate_entropy,4,0.24199684397329002,0.32158088176043387,0.07847063788951764,0.07498273746151235,1.0,-0.0061060459010088206,-0.005904945854424422,0.08518149911865494,0.08088768331593676,1.0,0.0196078431372549,0.0196078431372549,1
active_unit_fraction,4,0.2296787357300763,0.2998022484061593,0.054092861897065414,0.05853456517018038,1.0,-0.005763608125600105,-0.00527268706679149,0.0599900938964848,0.06380725223697187,1.0,0.0196078431372549,0.0196078431372549,2
population_mean_rate_hz,4,0.2863686253452273,0.3269780383947323,0.0323511409276126,0.030422008656619648,1.0,-0.005696792902531373,-0.005283138545938863,0.037019127170447884,0.03570514720255852,1.0,0.0196078431372549,0.0196078431372549,3
population_state_speed,4,0.12910136927846616,0.13206988639455203,0.010525288036485225,0.012054414707763,0.5,-0.006728178952983539,-0.006712034319192774,0.017253466989468766,0.018766449026955775,0.75,0.0196078431372549,0.0196078431372549,4
