session_id,region,stimulus_family,H,R,S,M,Phi_neural,n_bins,H_domain,R_domain,S_domain,M_domain,hrsm_domain
session_1,CA1,drifting_gratings,0.15155639388913295,0.22493890869295013,-0.043548431521148796,-0.17080992812166915,0.04921588011230197,810,mid,mid,mid,mid,mid_mid_mid_mid
session_1,CA1,natural_scenes,0.22178198697730983,0.10244331783426565,-0.16925736102561517,-0.14279170938700575,0.056469948134305364,810,mid,mid,mid,mid,mid_mid_mid_mid
session_1,CA1,spontaneous,-0.6660719286463406,0.6536734766983456,0.4839786713991817,-0.5510571823778158,-0.02481102612934208,780,low,high,mid,low,low_high_mid_low
session_1,LGd,drifting_gratings,0.14826164023122518,0.1636911132636077,-0.4385594091368413,0.48814487038981386,0.11617142860100635,810,mid,mid,mid,mid,mid_mid_mid_mid
session_1,LGd,natural_scenes,0.30164497105010923,-0.08130006845376159,-0.5889648723468264,0.6549902030052533,0.12020812631178443,810,mid,mid,low,high,mid_mid_low_high
session_1,LGd,spontaneous,-0.6516736517689722,0.5924256812690036,0.0887624513732326,-0.0340894472284617,0.018698625425120654,780,low,high,mid,mid,low_high_mid_mid
session_1,VISl,drifting_gratings,0.06554716847921574,0.1636911132636077,-0.5777183006399024,-0.23737953052883937,-0.09454975221410283,810,mid,mid,low,mid,mid_mid_low_mid
session_1,VISl,natural_scenes,0.2022266340135327,-0.020052273024418994,-0.6254020800911498,-0.13773579021684093,-0.06678161100166433,810,mid,mid,low,mid,mid_mid_low_mid
session_1,VISl,spontaneous,-0.6623633539429814,0.653673476698346,0.14918902318499278,-0.6117282124197938,-0.12041378614790985,780,low,high,mid,low,low_high_mid_low
session_1,VISp,drifting_gratings,0.1469343310832576,0.22493890869295013,0.805819364888785,-0.8101730398487634,0.10216562885651284,810,mid,mid,high,low,mid_mid_high_low
session_1,VISp,natural_scenes,0.24870150858325435,0.04119552240492319,0.679006854630729,-0.7347555788938047,0.09386210320131277,810,mid,mid,high,low,mid_mid_high_low
session_1,VISp,spontaneous,-0.7829114838508291,0.7149212721276882,1.488198396231319,-1.0044046013025958,0.11478924778521138,780,low,high,high,low,low_high_high_low
session_2,CA1,drifting_gratings,0.07525938510946562,0.028450588634218954,-0.7673402345665232,0.30652588503564304,-0.03876185408990797,810,mid,mid,low,mid,mid_mid_low_mid
session_2,CA1,natural_scenes,0.22729580183066,-0.033050346040065966,-0.8091103993173272,0.391254128274991,-0.022920718244979606,810,mid,mid,low,mid,mid_mid_low_mid
session_2,CA1,spontaneous,-0.6562125486340608,0.58195900070278,-0.22618095581272785,-0.20259839171215424,-0.13186315245872632,780,low,high,mid,mid,low_high_mid_mid
session_2,LGd,drifting_gratings,0.16592358830753368,0.08995152330850333,-0.7628578569314859,0.5444820425519412,0.028374802803895503,810,mid,mid,low,high,mid_mid_low_high
session_2,LGd,natural_scenes,0.17974845015546648,0.028450588634218406,-0.8111860552909096,0.5612767277374688,0.05491471522546533,810,mid,mid,low,high,mid_mid_low_high
session_2,LGd,spontaneous,-0.6519434356884594,0.58195900070278,-0.26160302852846623,0.012524542124943293,-0.09289333254923618,780,low,high,mid,mid,low_high_mid_mid
session_2,VISl,drifting_gratings,0.12038641630164862,0.33595526200564163,0.6082439057465338,-0.6554887787376225,0.08797119282780538,810,mid,mid,high,low,mid_mid_high_low
session_2,VISl,natural_scenes,0.2730918331565823,0.21295339265707233,0.5078173752570343,-0.6101997400350757,0.09188485935018542,810,mid,mid,high,low,mid_mid_high_low
session_2,VISl,spontaneous,-0.655902166928221,0.704960870051349,1.0134180101164114,-0.838909385482937,0.0636529111359434,780,low,high,high,low,low_high_high_low
session_2,VISp,drifting_gratings,0.16697155170960606,0.27445432733135683,0.7480705498363716,-0.7843738347119535,0.0827180378660462,810,mid,mid,high,low,mid_mid_high_low
session_2,VISp,natural_scenes,0.2525006044066064,0.15145245798278784,0.677013622860386,-0.7475764907661344,0.08180806390787335,810,mid,mid,high,low,mid_mid_high_low
session_2,VISp,spontaneous,-0.6943981899979247,0.7049608700513491,1.3091150273593857,-0.9487353043366131,0.10272898958600907,780,low,high,high,low,low_high_high_low
