target,session_id,region,stimulus_family,shuffle_id,shuffle_memory_gain_r2
population_mean_rate_hz,719161530,CA1,spontaneous,74,-0.00315979597657734
population_mean_rate_hz,719161530,CA1,spontaneous,75,-0.01054701453081297
population_mean_rate_hz,719161530,CA1,spontaneous,76,-0.0027622955029398266
population_mean_rate_hz,719161530,CA1,spontaneous,77,-0.005057124256938383
population_mean_rate_hz,719161530,CA1,spontaneous,78,-0.0048278290734499185
population_mean_rate_hz,719161530,CA1,spontaneous,79,-0.003051783694650756
population_mean_rate_hz,719161530,CA1,spontaneous,80,-0.005768476088908514
population_mean_rate_hz,719161530,CA1,spontaneous,81,-0.003832310373611425
population_mean_rate_hz,719161530,CA1,spontaneous,82,-0.0020919106962067335
population_mean_rate_hz,719161530,CA1,spontaneous,83,-0.004820172312317683
population_mean_rate_hz,719161530,CA1,spontaneous,84,-0.00488574818937304
population_mean_rate_hz,719161530,CA1,spontaneous,85,-0.0023346274535646083
population_mean_rate_hz,719161530,CA1,spontaneous,86,-0.005414420454048607
population_mean_rate_hz,719161530,CA1,spontaneous,87,-0.00681755609697976
population_mean_rate_hz,719161530,CA1,spontaneous,88,-0.001443844474287359
population_mean_rate_hz,719161530,CA1,spontaneous,89,-0.002599139966914743
population_mean_rate_hz,719161530,CA1,spontaneous,90,-0.004839864705923458
population_mean_rate_hz,719161530,CA1,spontaneous,91,-0.005137238277334255
population_mean_rate_hz,719161530,CA1,spontaneous,92,-0.0025179342195352783
population_mean_rate_hz,719161530,CA1,spontaneous,93,-0.004636261209697401
population_mean_rate_hz,719161530,CA1,spontaneous,94,-0.004331495129731855
population_mean_rate_hz,719161530,CA1,spontaneous,95,-0.005093180391684937
population_mean_rate_hz,719161530,CA1,spontaneous,96,-0.008167865890518655
population_mean_rate_hz,719161530,CA1,spontaneous,97,0.0027529240280654843
population_mean_rate_hz,719161530,CA1,spontaneous,98,-0.00680741055096401
population_mean_rate_hz,719161530,CA1,spontaneous,99,-0.001199946120728712
population_mean_rate_hz,719161530,LGd,spontaneous,0,-0.003955260796837612
population_mean_rate_hz,719161530,LGd,spontaneous,1,-0.004061187386499077
population_mean_rate_hz,719161530,LGd,spontaneous,2,-0.002466145634285155
population_mean_rate_hz,719161530,LGd,spontaneous,3,-0.0018370623021619625
population_mean_rate_hz,719161530,LGd,spontaneous,4,-0.003221176684429672
population_mean_rate_hz,719161530,LGd,spontaneous,5,-0.0035816482425712337
population_mean_rate_hz,719161530,LGd,spontaneous,6,7.796531993742306e-05
population_mean_rate_hz,719161530,LGd,spontaneous,7,-0.0027246249093287878
population_mean_rate_hz,719161530,LGd,spontaneous,8,-0.0010551270713564653
population_mean_rate_hz,719161530,LGd,spontaneous,9,-0.0029339993371683137
population_mean_rate_hz,719161530,LGd,spontaneous,10,-0.00329383708321096
population_mean_rate_hz,719161530,LGd,spontaneous,11,-0.0014764765783278344
population_mean_rate_hz,719161530,LGd,spontaneous,12,-0.0023113377013537217
population_mean_rate_hz,719161530,LGd,spontaneous,13,-0.0007554941962539807
population_mean_rate_hz,719161530,LGd,spontaneous,14,-0.002683888949281066
population_mean_rate_hz,719161530,LGd,spontaneous,15,-0.0006371433801644066
population_mean_rate_hz,719161530,LGd,spontaneous,16,-0.003243542467411986
population_mean_rate_hz,719161530,LGd,spontaneous,17,-0.002577625454535548
population_mean_rate_hz,719161530,LGd,spontaneous,18,-0.0028820953740360533
population_mean_rate_hz,719161530,LGd,spontaneous,19,-0.0031550847042201013
population_mean_rate_hz,719161530,LGd,spontaneous,20,-0.003336579864042344
population_mean_rate_hz,719161530,LGd,spontaneous,21,-0.0016644141949548885
population_mean_rate_hz,719161530,LGd,spontaneous,22,-0.003127704029637135
population_mean_rate_hz,719161530,LGd,spontaneous,23,-0.0023738376883979395
population_mean_rate_hz,719161530,LGd,spontaneous,24,-0.001410828565530542
population_mean_rate_hz,719161530,LGd,spontaneous,25,-0.003236503862593554
population_mean_rate_hz,719161530,LGd,spontaneous,26,-0.0014898877208597838
population_mean_rate_hz,719161530,LGd,spontaneous,27,-0.0025875586164980646
population_mean_rate_hz,719161530,LGd,spontaneous,28,-0.0029035533924210988
population_mean_rate_hz,719161530,LGd,spontaneous,29,-0.002911670271761646
population_mean_rate_hz,719161530,LGd,spontaneous,30,-0.003919445180650349
population_mean_rate_hz,719161530,LGd,spontaneous,31,-0.0021639364016038387
population_mean_rate_hz,719161530,LGd,spontaneous,32,-0.0037155795988748075
population_mean_rate_hz,719161530,LGd,spontaneous,33,-0.0021963924125987244
population_mean_rate_hz,719161530,LGd,spontaneous,34,-0.0024465148049832575
population_mean_rate_hz,719161530,LGd,spontaneous,35,-0.0006815803964543843
population_mean_rate_hz,719161530,LGd,spontaneous,36,0.0008209001272028171
population_mean_rate_hz,719161530,LGd,spontaneous,37,-0.0029997795710292596
population_mean_rate_hz,719161530,LGd,spontaneous,38,0.000529096136815177
population_mean_rate_hz,719161530,LGd,spontaneous,39,-0.0026637129104969404
population_mean_rate_hz,719161530,LGd,spontaneous,40,-0.0031689631356169867
population_mean_rate_hz,719161530,LGd,spontaneous,41,-0.0022684141156489313
population_mean_rate_hz,719161530,LGd,spontaneous,42,-0.0028332592442094073
population_mean_rate_hz,719161530,LGd,spontaneous,43,-0.002070035587683594
population_mean_rate_hz,719161530,LGd,spontaneous,44,-0.0019771723034245348
population_mean_rate_hz,719161530,LGd,spontaneous,45,-0.0009016415952440848
population_mean_rate_hz,719161530,LGd,spontaneous,46,-0.0006542471725933252
population_mean_rate_hz,719161530,LGd,spontaneous,47,-0.0033423866443256234
population_mean_rate_hz,719161530,LGd,spontaneous,48,-0.0017517471564086895
population_mean_rate_hz,719161530,LGd,spontaneous,49,-0.002563497067972431
population_mean_rate_hz,719161530,LGd,spontaneous,50,-0.002767479550846552
population_mean_rate_hz,719161530,LGd,spontaneous,51,-0.003344969643152451
population_mean_rate_hz,719161530,LGd,spontaneous,52,-0.00218748178822592
population_mean_rate_hz,719161530,LGd,spontaneous,53,-0.0005599019130000382
population_mean_rate_hz,719161530,LGd,spontaneous,54,-0.0027931047328142444
population_mean_rate_hz,719161530,LGd,spontaneous,55,-0.0032876716198180223
population_mean_rate_hz,719161530,LGd,spontaneous,56,-0.003252653865828181
