axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.2859713841797306,0.42368648510026385
R,0.33,0.66,-0.1514366227901156,0.7235893511709196
S,0.33,0.66,-0.10763207795765349,0.25955728358308533
M,0.33,0.66,-0.2219881323158986,0.18817956214850376
