figure,description,source,run_note
real_allen_observed_minus_shuffle_gain.png,Difference between observed memory gain and the mean shuffled-lag memory gain for each region-stimulus group.,real_memory_negative_control_summary.csv,"{'n_ok_groups': 4, 'median_observed_gain': 0.0088420696642697, 'mean_observed_gain': 0.0112545025808952, 'fraction_observed_positive': 0.5, 'median_shuffle_gain_mean': -0.0044525937616217, 'mean_shuffle_gain_mean': -0.0037168250319527, 'median_observed_minus_shuffle': 0.0117824521703471, 'mean_observed_minus_shuffle': 0.014971327612848, 'fraction_observed_above_shuffle_mean': 0.5, 'median_empirical_p': 0.504950495049505}"
real_allen_observed_vs_shuffle_memory_gain.png,Observed memory gain compared with shuffled-lag null mean and standard deviation.,real_memory_negative_control_summary.csv,"{'n_ok_groups': 4, 'median_observed_gain': 0.0088420696642697, 'mean_observed_gain': 0.0112545025808952, 'fraction_observed_positive': 0.5, 'median_shuffle_gain_mean': -0.0044525937616217, 'mean_shuffle_gain_mean': -0.0037168250319527, 'median_observed_minus_shuffle': 0.0117824521703471, 'mean_observed_minus_shuffle': 0.014971327612848, 'fraction_observed_above_shuffle_mean': 0.5, 'median_empirical_p': 0.504950495049505}"
real_allen_shuffle_empirical_p_values.png,Empirical p-values from the shuffled-lag negative control. Lower values mean observed gain exceeds most shuffled controls.,real_memory_negative_control_summary.csv,"{'n_ok_groups': 4, 'median_observed_gain': 0.0088420696642697, 'mean_observed_gain': 0.0112545025808952, 'fraction_observed_positive': 0.5, 'median_shuffle_gain_mean': -0.0044525937616217, 'mean_shuffle_gain_mean': -0.0037168250319527, 'median_observed_minus_shuffle': 0.0117824521703471, 'mean_observed_minus_shuffle': 0.014971327612848, 'fraction_observed_above_shuffle_mean': 0.5, 'median_empirical_p': 0.504950495049505}"
real_allen_shuffle_distribution_with_observed.png,Distribution of shuffled-lag memory gains with observed gain overlaid as diamond markers.,real_memory_negative_control_shuffles.csv,"{'n_ok_groups': 4, 'median_observed_gain': 0.0088420696642697, 'mean_observed_gain': 0.0112545025808952, 'fraction_observed_positive': 0.5, 'median_shuffle_gain_mean': -0.0044525937616217, 'mean_shuffle_gain_mean': -0.0037168250319527, 'median_observed_minus_shuffle': 0.0117824521703471, 'mean_observed_minus_shuffle': 0.014971327612848, 'fraction_observed_above_shuffle_mean': 0.5, 'median_empirical_p': 0.504950495049505}"
