target,session_id,region,stimulus_family,shuffle_id,shuffle_memory_gain_r2
active_unit_fraction,756029989,CA1,spontaneous,0,-0.004436676482541979
active_unit_fraction,756029989,CA1,spontaneous,1,-0.006228707342439077
active_unit_fraction,756029989,CA1,spontaneous,2,-0.004714326639023159
active_unit_fraction,756029989,CA1,spontaneous,3,-0.0021063602472086718
active_unit_fraction,756029989,CA1,spontaneous,4,-0.006421413224286243
active_unit_fraction,756029989,CA1,spontaneous,5,-0.004308568474066465
active_unit_fraction,756029989,CA1,spontaneous,6,-0.004205154967940605
active_unit_fraction,756029989,CA1,spontaneous,7,-0.008668985337318524
active_unit_fraction,756029989,CA1,spontaneous,8,-0.005048142936737499
active_unit_fraction,756029989,CA1,spontaneous,9,-0.006331835732905411
active_unit_fraction,756029989,CA1,spontaneous,10,-0.007838010707789556
active_unit_fraction,756029989,CA1,spontaneous,11,-0.004991421328971568
active_unit_fraction,756029989,CA1,spontaneous,12,-0.008511896337769165
active_unit_fraction,756029989,CA1,spontaneous,13,-0.0019263728293329452
active_unit_fraction,756029989,CA1,spontaneous,14,-0.008968560083834065
active_unit_fraction,756029989,CA1,spontaneous,15,-0.002973832972758439
active_unit_fraction,756029989,CA1,spontaneous,16,-0.000652301176392589
active_unit_fraction,756029989,CA1,spontaneous,17,-0.0024772548405356254
active_unit_fraction,756029989,CA1,spontaneous,18,-0.005664023016389463
active_unit_fraction,756029989,CA1,spontaneous,19,-0.006807716492357008
active_unit_fraction,756029989,CA1,spontaneous,20,-0.004572810953563655
active_unit_fraction,756029989,CA1,spontaneous,21,-0.006784174048793612
active_unit_fraction,756029989,CA1,spontaneous,22,-0.0054520951589899225
active_unit_fraction,756029989,CA1,spontaneous,23,-0.006121763222388776
active_unit_fraction,756029989,CA1,spontaneous,24,-0.005698482596776189
active_unit_fraction,756029989,CA1,spontaneous,25,-0.005744217213170311
active_unit_fraction,756029989,CA1,spontaneous,26,0.0021710864416659703
active_unit_fraction,756029989,CA1,spontaneous,27,-0.004644264935567577
active_unit_fraction,756029989,CA1,spontaneous,28,-0.00474900873997508
active_unit_fraction,756029989,CA1,spontaneous,29,-0.006363954218924883
