axis,low_q,high_q,low_threshold,high_threshold
H,0.33,0.66,-0.3723932643561605,0.6303458169766457
R,0.33,0.66,-0.12606024762062903,0.7366760611763314
S,0.33,0.66,-0.10554856953920778,0.25828855531389705
M,0.33,0.66,-0.2153444243010668,0.1885190262772423
