session_id,region,stimulus_family,shuffle_id,shuffle_memory_gain_r2
750749662,LGd,spontaneous,4,-0.001077808912330891
750749662,LGd,spontaneous,5,-0.002078174111766251
750749662,LGd,spontaneous,6,-0.001836429108549198
750749662,LGd,spontaneous,7,-0.000785313470243354
750749662,LGd,spontaneous,8,-0.002654556780148365
750749662,LGd,spontaneous,9,-0.0023924453130060863
750749662,LGd,spontaneous,10,-0.0031175834337466846
750749662,LGd,spontaneous,11,-0.001805484889165987
750749662,LGd,spontaneous,12,-0.0014335759019126204
750749662,LGd,spontaneous,13,-0.002370306903947572
750749662,LGd,spontaneous,14,-0.0006399696495541507
750749662,LGd,spontaneous,15,-0.0006912253534128165
750749662,LGd,spontaneous,16,-0.003105056985197918
750749662,LGd,spontaneous,17,0.00045297086401485664
750749662,LGd,spontaneous,18,-0.002292648474003678
750749662,LGd,spontaneous,19,-0.0016034943554450454
750749662,LGd,spontaneous,20,-0.0009584252816872141
750749662,LGd,spontaneous,21,-0.00035283275714381723
750749662,LGd,spontaneous,22,-0.0021050327915854705
750749662,LGd,spontaneous,23,-0.0017263765256334551
750749662,LGd,spontaneous,24,-0.0011812896880728507
750749662,LGd,spontaneous,25,-0.002479052400599535
750749662,LGd,spontaneous,26,-0.0011969032450691586
750749662,LGd,spontaneous,27,-0.0001397345199807276
750749662,LGd,spontaneous,28,-0.0022112390488329137
750749662,LGd,spontaneous,29,-0.0019072113771820831
750749662,LGd,spontaneous,30,-0.0016406381899075617
750749662,LGd,spontaneous,31,-0.0016746396823285048
750749662,LGd,spontaneous,32,-0.0021969274581478127
750749662,LGd,spontaneous,33,-0.0011258518921815064
750749662,LGd,spontaneous,34,-0.001962726701914219
750749662,LGd,spontaneous,35,-0.0014222074737522128
750749662,LGd,spontaneous,36,-0.002341856479479043
750749662,LGd,spontaneous,37,-0.002197659445482003
750749662,LGd,spontaneous,38,-0.0024496002406732
750749662,LGd,spontaneous,39,-0.0009689093604957622
750749662,LGd,spontaneous,40,-0.001821030665143386
750749662,LGd,spontaneous,41,-0.002644389062697483
750749662,LGd,spontaneous,42,-0.002216797157720718
750749662,LGd,spontaneous,43,-0.0023507386813188536
750749662,LGd,spontaneous,44,-0.001569433670316256
750749662,LGd,spontaneous,45,-0.002573804892110676
750749662,LGd,spontaneous,46,-0.0019521945755365255
750749662,LGd,spontaneous,47,-0.0021440498882909775
750749662,LGd,spontaneous,48,-0.003276585250265418
